AFFYID,logFC,AveExpr,t,P.Value,adj.P.Val,B
10406407,-1.49423180209349,8.04458602511439,-6.84113878792131,0.000343408931179903,0.000343408931179903,-1.04892506699936
10361246,-1.25654222371198,7.81591278606514,-5.31386050917448,0.00141591043111648,0.00141591043111648,-1.60272938386751
10408557,-0.933285287535433,5.97796463676064,-8.85419463747923,7.45313926806234e-05,7.45313926806234e-05,-0.608431700999913
10487945,-0.825056549655844,9.96941939683415,-3.51017758427724,0.0111688022902195,0.0111688022902195,-2.68164670963656
10382532,-0.805245012191872,8.44809280982327,-5.22916749473722,0.00154410668458591,0.00154410668458591,-1.64152923434617
10397158,-0.776766635842014,7.71650900155496,-1.73889243201289,0.129030501051658,0.129030501051658,-4.28376039592139
10394674,-0.749039793216936,8.67773705150273,-1.64260840121984,0.147888233669964,0.147888233669964,-4.37608763812061
10443459,-0.748836040801742,4.79944980483832,-4.20266424112786,0.0047757934711779,0.0047757934711779,-2.19958939923921
10445251,-0.745789455477226,5.69293142181406,-4.95236803102672,0.00206339972640228,0.00206339972640228,-1.775509554691
10508490,-0.743629076007512,6.88474664099816,-2.30360048631901,0.0576193434851878,0.0576193434851878,-3.7350345516752
10479761,-0.741174663758036,4.66585368959331,-3.52760239941695,0.0109228237515004,0.0109228237515004,-2.66837505207141
10396926,-0.713354949053332,6.72004277525533,-2.2510514712869,0.0620951798648137,0.0620951798648137,-3.78569021869109
10506301,-0.71332373404765,6.53702920635056,-1.2432716070517,0.256853974783235,0.256853974783235,-4.74003363320359
10390860,-0.710646423057891,4.96843819554454,-2.32108412334217,0.0562047695543347,0.0562047695543347,-3.71823245381002
10458890,-0.707234525087834,4.43327576998396,-4.30359410057849,0.00424524775380875,0.00424524775380875,-2.1368715472796
10404059,-0.685102031053934,9.25731418362292,-5.63029880009942,0.00103256261904764,0.00103256261904764,-1.46626126164977
10497481,-0.684406657780565,7.14294468314629,-4.21079831835771,0.00473041605831348,0.00473041605831348,-2.19446641054805
10500360,-0.671908652581477,8.28769946856196,-1.59914299295275,0.157234270088978,0.157234270088978,-4.41736367078726
10398011,-0.671101511031318,5.33205637132657,-1.80717567363695,0.117082391548516,0.117082391548516,-4.2177116839578
10459772,-0.670401044667956,6.63713118600985,-2.03390195792609,0.0846808176075596,0.0846808176075596,-3.99677433506511
10415279,-0.66115232188026,8.32325338160369,-2.81112381892216,0.0282890091410909,0.0282890091410909,-3.26227473384407
10497501,-0.654922505361483,4.94554251504814,-2.16487667056212,0.0702190678669957,0.0702190678669957,-3.86918854266753
10457203,-0.649506997223593,6.58270519299354,-3.53109531774902,0.0108742311016718,0.0108742311016718,-2.66572185043541
