m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_polar_HILIC_pos_01.raw (F1),Area: B6_2_ML_polar_HILIC_pos_01.raw (F2),Area: B6_3_ML_polar_HILIC_pos_01.raw (F3),Area: B6_4_ML_polar_HILIC_pos_01.raw (F4),Area: FVB_1_ML_polar_HILIC_pos_01.raw (F7),Area: FVB_2_ML_polar_HILIC_pos_01.raw (F8),Area: FVB_3_ML_polar_HILIC_pos_01.raw (F9),Area: FVB_4_ML_polar_HILIC_pos_01.raw (F10)
1201.32805,0.599,9538691.38621368,2321836.73640037,1471677.53148477,1498827.70991602,1017820.66201499,1042416.95278613,544190.723282725,498784.173854082,1646800.69025264
429.30885,0.625,1741342.49045311,1741342.49045311,285841.87316985,415882.258187807,535709.543500279,319859.759103099,520599.519569681,413782.815793568,427495.627976513
157.14661,0.643,1574225.25754634,1574225.25754634,275983.031080098,334483.799152289,253875.337843031,147520.0037604,281159.55107496,247926.959514312,208177.983210747
1369.37566,0.594,4190662.59239175,543178.838430262,284379.995500569,307653.194049577,311615.037012471,266418.693738831,419090.699463102,306853.927354409,285955.615073162
249.08605,1.182,9698930.31929331,4384305.75755508,5960181.43942343,7308383.32308937,9131812.04984494,9698930.31929331,5004906.74751993,6519981.99945764,6932425.15966336
402.34535,0.632,9643287.99189363,1557850.91746886,3910983.4247143,1857275.45142006,4068650.78526436,3538978.75720868,8094681.31071728,9643287.99189363,2588104.63558506
251.17317,0.656,1479426.18632751,560082.362107428,227853.598967574,339174.066116961,306601.958795287,1371617.78963387,297859.571609049,318469.889388798,1479426.18632751
248.07166,0.667,1474574.87497745,1474574.87497745,294951.037356476,347193.068108197,366718.181365613,477052.97727886,233476.369889926,399267.707676058,440879.373278599
530.30269,2.608,10095568.3433297,1769878.78891125,1738583.80685418,1534248.98838435,3681366.646086,8575441.90937921,2098693.66465705,4418006.65291006,10095568.3433297
515.29167,4.682,130402151.989199,64512238.8896231,81418160.4747332,58438186.4473774,41015419.7713368,86834417.0682126,69891468.1825196,109455979.066856,130402151.989199
198.18576,0.628,1418534.66109933,221856.293164522,470011.24655567,236847.942584992,553623.093882686,443459.432178167,1149283.21951522,1418534.66109933,372379.925198279
221.16245,0.626,1385725.7822988,1385725.7822988,367088.979646399,598305.676918722,534527.94306042,390428.702865705,361498.525990883,470080.757905832,511933.905117998
487.35091,0.711,1377555.30080651,1377555.30080651,802099.069238765,439486.818953193,482439.76765852,86597.6984486818,54901.3103476087,110362.227961407,42199.2605965721
430.37686,0.645,11454273.7533595,2011790.97243446,5244254.85001771,3417120.70168076,7365033.51349286,4285517.01413091,10806446.9026193,11454273.7533595,3978079.12659067
265.22511,0.642,6858078.38171718,2996116.10941968,1224217.4725973,1719545.09191711,1020364.01863416,6858078.38171718,1148218.8037667,2060801.89928748,5809716.60604091
530.30273,3.975,15739400.9391921,2455280.93847196,1887419.33731069,2044947.60198132,1580309.42339843,5463823.69025544,2778185.85156347,5471804.97039783,15739400.9391921
253.20407,0.629,2799462.47708105,469992.160365713,945526.588513093,430561.731152287,1036364.6616376,847912.966003517,2026261.55973049,2799462.47708105,625450.31021842
325.24628,0.738,1796946.91862114,1239264.73325949,1126771.82938058,1113040.68802603,961532.574747912,1052595.38872345,1052174.51403016,1014416.23788524,1076150.19478104
315.31343,1.549,2074974.49818246,2074974.49818246,618457.256497968,857814.982153598,63988.5000432457,821888.619839558,796501.978201988,63603.6293086587,1234544.72931028
530.30269,2.882,7000640.45192141,1957455.01530361,1143696.67458054,1756156.36970381,1222289.0646533,4991195.86276473,1376424.31198709,2000455.05121427,7000640.45192141
779.18295,0.645,3704337.24609449,364589.606912682,133412.128637582,96406.4288512222,157164.050289169,194673.411796943,192080.811998703,237990.644481589,120384.631391187
557.12714,0.653,4643469.27082461,663366.374266007,242227.352952195,305310.238761838,327300.026986716,326462.018118078,395307.83402064,392530.593880463,266535.717540445
346.2829,0.65,3485576.87177088,510664.415079644,1019957.74426713,539006.137854822,1687892.65298193,1405711.04455227,3485576.87177088,3018393.29136482,1031332.28763069
357.3029,0.629,3429680.01918508,1506769.76220371,468265.43527818,2274479.42756646,484459.714206761,1113137.74274208,400122.224984987,610400.842764816,3429680.01918508
479.27025,3.793,3403185.26230068,455302.790185039,426282.846977573,1254269.71529739,1049380.64998128,3403185.26230068,774361.074802861,1252093.84641317,2749492.74240052
243.25603,1.683,3363896.7251514,3363896.7251514,705378.025484339,1668039.78156569,10573.826451433,625283.919793837,844333.925267364,26530.8516125028,1604422.55513217
425.31387,1.037,3359253.66185062,424758.948612547,283778.180565853,352808.966178938,238314.239261295,3359253.66185062,336525.323125713,2998898.65644354,2074059.52619374
705.16368,0.643,5046600.53015493,537816.090367585,194138.16364361,188698.731109948,217178.847064759,258066.562441657,317535.663368219,320181.823958209,204314.385462788
631.14529,0.645,5812568.52363645,662082.797582284,273860.285457561,276813.776141448,339800.373199501,362444.328258824,521096.84737939,401791.901376989,286548.901619521
516.32336,2.953,28010313.3264404,26819162.9712943,18498750.4589143,18491668.4353594,20674085.4746337,23779768.7208519,14497079.1446827,24699860.4643588,25792094.5096671
560.34948,4.68,3105789.76935393,1461798.75960445,2119692.01388733,1297039.59671465,862338.01450107,2160003.60871285,1754942.59785783,2608893.39059689,3105789.76935393
370.09362,0.611,5939624.04882276,1341976.52070321,772514.143727122,931005.064007299,875676.022956069,784611.794731675,928328.216605836,839785.928198497,883467.262664833
193.13136,0.753,2976891.67915183,2976891.67915183,621243.445521611,625001.697152973,685721.855868314,502564.139515039,714646.598906186,669177.730045367,716167.692324811
431.28815,0.639,2971528.93447589,512752.123778927,1080515.1870715,532116.363180246,1196610.58228754,911921.755652673,2478410.67758427,2971528.93447589,666051.908890558
255.21959,0.635,2814426.69088244,601071.520106322,1088647.11521595,455791.33631787,1291638.40674132,1125100.46524858,2541649.02338702,2814426.69088244,892535.044456
714.5755,0.645,2656536.07193805,98657.5590444777,524997.191870096,125502.481287947,878701.075010974,573580.055485209,2526612.98067073,2656536.07193805,340439.824315755
293.22004,0.653,2508253.13582223,2508253.13582223,793394.871146042,898431.373500609,541434.199734483,799174.377040034,919939.575745014,601742.134900749,703590.123156771
353.32906,0.643,6345639.38103122,987537.878666437,2257431.62484802,908483.901391625,2237491.24530706,1984687.45714893,4991958.87347198,6345639.38103122,1141514.88497206
161.11629,6.624,2446500.16613643,668968.001852421,1167056.80362099,2390203.14366762,1762982.85332921,2284793.7230877,1256757.8069057,2446500.16613643,1451530.40500579
190.15679,0.649,2313210.2118507,2313210.2118507,382735.302973734,260700.692007288,316982.168860481,84190.6808492109,401712.85079644,212318.923258824,133899.374691919
178.12047,0.85,2220640.97824422,2220640.97824422,457761.831400931,451765.55675852,465251.16710443,489175.583639651,502579.717392595,490560.919241177,653491.509243906
374.31429,0.648,2198100.79207265,308402.357457263,734989.750671098,375388.170239555,1163426.37613093,806772.389214232,2198100.79207265,1631455.27647677,719795.925030518
208.17001,0.635,6589038.52161162,1235364.16569331,2635199.57699598,1195721.497506,2814533.24731316,2280603.94921434,5327191.42997604,6589038.52161162,1848260.70391758
499.29671,2.974,38308067.260677,38308067.260677,26738729.9471509,26069370.9301652,26265680.16267,32050979.7519671,19705215.0104004,33393658.6940992,34201193.7114365
555.14742,0.634,1990334.16141703,274286.011624365,137395.904985317,161706.552986634,139957.975840744,166282.450735589,203195.477783968,170945.50692589,190305.796880167
195.14706,1.042,1917257.09713214,546835.185930946,418860.862680634,587021.503747337,455596.648124345,1552318.78932361,579128.661987523,717150.108913471,1917257.09713214
361.24608,0.621,1911607.00607565,1911607.00607565,404125.572973896,441010.190251272,472707.716025439,195801.277713261,596666.404786854,457939.603867146,270429.293736725
343.22042,1.22,1814751.39432593,1521481.54737818,1038648.94027191,831416.936718178,701422.19317002,1118547.59470823,1222975.15966403,639055.739602064,912601.029481805
470.37194,0.72,2662971.23704012,404616.646112263,1077060.69458215,415798.059668894,1336809.24541033,958456.566047374,2439655.61313598,2662971.23704012,553749.952375616
