m/z meas.,RT [min],Area: B6_1_ML_polar_RP_pos_01.raw (F1),Area: B6_2_ML_polar_RP_pos_01.raw (F2),Area: B6_3_ML_polar_RP_pos_01.raw (F3),Area: B6_14_ML_polar_RP_pos_01.raw (F4),Area: B6_15_ML_polar_RP_pos_01.raw (F5),Area: B6_16_ML_polar_RP_pos_01.raw (F6),Area: B6_26_ML_polar_RP_pos_01.raw (F7),Area: B6_27_ML_polar_RP_pos_01.raw (F8),Area: B6_28_ML_polar_RP_pos_01.raw (F9),Area: B6_32_ML_polar_RP_pos_01.raw (F10),Area: B6_33_ML_polar_RP_pos_01.raw (F11),Area: B6_34_ML_polar_RP_pos_01.raw (F12),Area: FVB_4_ML_polar_RP_pos_01.raw (F14),Area: FVB_5_ML_polar_RP_pos_01.raw (F15),Area: FVB_6_ML_polar_RP_pos_01.raw (F16),Area: FVB_17_ML_polar_RP_pos_01.raw (F17),Area: FVB_18_ML_polar_RP_pos_01.raw (F18),Area: FVB_19_ML_polar_RP_pos_01.raw (F19),Area: FVB_29_ML_polar_RP_pos_01.raw (F20),Area: FVB_30_ML_polar_RP_pos_01.raw (F21),Area: FVB_31_ML_polar_RP_pos_01.raw (F22),Area: FVB_35_ML_polar_RP_pos_01.raw (F23),Area: FVB_36_ML_polar_RP_pos_01.raw (F24),Area: FVB_37_ML_polar_RP_pos_01.raw (F25)
145.15795,0.654,10170668.1874342,12897678.7391006,12251696.3324095,18741494.8821325,6773549.95027893,10440831.4568857,12460413.3634437,25123355.1544031,22312257.2658897,15208365.0097587,12795174.9173044,14887194.614291,23736780.7850818,11339010.8627499,15293342.2335768,13539202.1420373,14209341.1304978,13784173.4463513,7580655.22764255,15732675.7417761,18587072.8674405,18405492.0145663,11759524.5837514,5177306.88590074
272.11942,2.712,1712596.62900777,1725233.4843236,4419796.70189063,1860916.60950335,2431737.43867895,2320906.06571583,1965261.64972878,3163669.29853816,3608784.59712774,1831662.15045672,3141851.04434049,3137661.56669181,2060826.3835037,738819.17136621,3654381.04562215,3046548.88205016,3059387.6491091,2649848.42594794,1793563.0068765,1193088.23168005,619152.446960061,1135532.6275017,2660455.27252042,2594627.62536323
232.10592,13.796,8334117.06475525,10852933.6477819,10691843.5607906,12137470.5603204,12722435.0608759,10178023.8656569,8578351.05196589,10324053.7768065,11903585.9817595,13084695.822743,11373441.8986414,11346285.8567618,8368513.78415238,9729536.6620554,9537763.68923113,11062111.8208432,10699638.2373458,12446422.9881635,11434278.6206775,9184642.26097812,14693243.134664,9372683.98437884,12548138.6787318,13899492.5517252
321.09933,1.396,594838245.853329,474399550.796738,303096295.886581,469861032.24272,379698735.058837,411464658.050459,307494193.174023,316093618.130389,203812447.372459,537097432.925782,256669605.016072,664236317.966334,506422176.22295,648708450.664751,427014639.069555,500015649.955243,388260866.759494,378431868.929912,283741983.3956,300694266.873997,269995985.187164,351572189.638703,482435155.71097,545153450.740067
131.07365,3.288,5612267.30135315,6244910.6792788,4903892.80072596,9195694.76086666,8645677.44518101,7665880.82321033,6512814.55900732,5799326.78702497,6450083.03231493,6422110.76096269,6727671.36357433,2899769.20624221,7290349.71230454,6949426.38456862,9971475.46784191,6709375.56065595,5814225.28214957,4518325.581964,5271498.51202238,4359110.34686029,7295299.37199623,3632033.23392264,7460408.10808311,5743229.70299636
238.13171,3.178,1307562.76030241,670107.25554237,971350.436998271,1357706.21894018,1050510.60993736,722037.492441064,5674999.73699767,2486970.2737195,2847343.82381616,2904395.63306656,3705974.05987219,2391828.15951415,1530494.48320503,229586.737084637,1942097.79222417,574331.667743075,874994.441793014,466225.281158744,2276842.08443123,4312842.32946951,848102.539673603,1871148.28520718,2105253.86659762,2493498.26184567
185.08013,1.061,3279291.27651989,478649.190574451,314200.349135626,1344349.98719263,408965.730718004,1079077.7306322,172405.346159045,329439.192055939,223018.83061774,2021087.8769122,230427.214442932,4256155.9859155,302964.142364789,896567.983360606,490130.261695653,880183.98025027,8420247.73589217,16833554.6453677,407624.501490022,192475.846090998,200631.640320479,171006.01255701,826579.343795371,350668.602132197
275.10061,1.076,3123333.18836871,1438393.29246008,1306353.41593694,3266385.74195271,2644561.96949724,1664121.30362212,1361381.75506692,644414.218961054,217865.387248292,207676.209375338,1014443.72741677,976474.538584445,927782.147155244,4150030.61371928,504538.085009786,1844272.20168323,1376911.79427783,3157313.70977956,148171.912262551,1206518.06981855,243789.886419156,715031.698770655,224088.641742696,587451.235198823
138.0317,0.885,2046098.58143016,4261875.44445329,4010975.23521562,2800038.85410611,4532150.73038755,4113068.5344369,3904170.91954934,3564567.28040887,5393803.63595719,2267206.80467539,3750684.01549803,2200664.45494569,4038271.45905765,2710887.45771973,4796095.49137458,3538450.447568,1939702.98368715,1207417.19348173,4715313.15382875,4309847.23789932,4643922.94485154,3865319.21800448,2958208.00087352,2884513.50002252
398.13688,2.758,64252635.1754342,504513874.666586,624433564.997715,72868712.1447968,261456418.506365,165215852.803222,271766736.994161,180945805.127347,132760804.519528,9105018.68432516,237591077.037874,8608212.69503346,473238251.503505,233853892.734907,518870163.383477,243861503.141827,27310154.4001768,16057673.787547,32572019.695883,192483720.009629,51510191.4161586,98588430.1360232,64965712.1594424,182849388.30564
384.12141,3.414,877603420.766527,742050079.155151,668387909.089059,944655662.530728,1137089905.3811,756029969.176924,1136663174.52939,1031042709.13944,899301335.787942,1017962817.99616,992991256.635166,1053995394.10275,956374490.71359,766493074.417926,932824263.58776,782924266.880023,1134069471.75568,781176634.344965,806486420.503261,976078823.570853,1134314180.52802,962095117.780725,1262464817.41487,1071158515.35787
349.09419,2.7,3409037.04516664,158094999.88233,115821944.180545,3255317.43337013,58622698.3444479,25705419.4860156,5246397.3319785,18861773.7438695,28481486.1712619,183692.217702828,10323864.8249812,269282.088267294,102680665.299358,69423285.91161,92115327.8234511,22252528.4156053,2224964.58108794,1838474.51786351,6375170.64864151,14968717.0628313,30879754.3682842,5190450.11481642,1924693.33808872,15505524.6128705
267.07818,2.481,38692461.2303917,49334290.4931086,64770818.140309,43697736.9346428,59470687.3172831,54988134.5268444,87508307.5420171,66895468.4480779,65782923.8637531,34536895.9248525,82236987.669466,37908357.4895043,86667907.2655308,61996067.4432222,58796769.8232682,60025516.6305749,3888755.09979016,5960556.33442596,48454206.5641887,94352022.5448978,76603931.2900788,86423648.9866951,80727727.8517358,103384545.033282
269.16271,3.555,494170.275349302,247758.808533816,224464.64537892,324694.774005096,270376.668054956,349528.130166891,3956847.43767448,3298886.61640795,5060602.24826624,4336951.56027217,3238475.89709254,2825421.57408099,405517.663900838,114714.288989457,560956.543810742,193002.582181108,429684.750259568,358669.040637157,2778134.96612015,2574999.84891104,1287769.93846632,2365881.38646474,3174709.6686477,3728478.72715222
159.12597,2.943,1941576.67861865,2817300.78471353,2818658.80902435,1950030.36685566,1269576.43955004,1643859.76890598,917600.286960937,170268.779998785,197038.593539918,683960.426671055,463291.512176371,426860.500948151,1533593.13732477,2221309.64418869,1529037.3194562,2573031.23021154,1344006.97888623,1700402.02334104,222876.171258083,511300.667668807,583525.731653671,390102.067267338,406224.427695599,318793.479822474
126.03188,2.994,836413.117157482,210128.728266064,655903.179554513,736618.638348346,61808.6969748107,650972.334222439,10348223.7586786,9460846.6223019,2028071.38191684,5844224.63278043,4159835.94215342,3040471.9684195,1176754.6960001,659230.773399658,971001.076181248,72945.9323513798,717234.180394573,879944.674499542,5215527.04407348,14489882.1683721,3880171.27636032,2353375.77898457,10227279.2720267,12718134.0443792
126.03179,0.823,114453771.883594,148362005.249489,169960861.886241,176608445.288095,266180353.77384,223613987.688797,177501767.15846,277896421.908901,201334676.217642,86836437.9023938,201695486.870579,150167596.867119,228452575.18526,265924137.681399,229414198.322047,144245437.307312,123512322.730242,77529909.7050011,147538714.397512,197392930.177189,277338231.013484,247354954.308896,86814636.1328457,178149151.371419
126.03189,0.891,61158020.3373831,98112713.239118,100024388.087529,63964918.5357728,99950969.6317623,52363634.8437395,61833032.4858949,93989606.0164523,107707652.740406,60382178.1993317,82339016.4592595,57367134.43054,106468806.226239,103789200.263844,105819547.53826,96854976.4421344,93733536.1529623,54785854.8627975,80557384.9066968,83938122.7616945,113129674.417835,83039351.4185293,79423179.2267423,100422362.779999
248.05614,1.511,81663655.4366557,93030702.6949246,88447930.4159622,146728615.846006,119202606.410195,120930225.431244,105793958.896192,87250605.8122337,114245949.606385,128410669.934637,133701949.362179,75648670.8279471,120749779.779221,122838644.648641,74551245.4538687,88427369.0729566,98746099.5126654,96839462.2759165,103631783.029698,77847784.6711089,172136264.961296,94215479.8485937,121965325.31318,136619469.592964
151.06336,1.086,24756843.3526994,7442923.94973661,4600131.88507582,6279216.70699043,2121604.13300275,7538267.65902486,3303130.24402515,5626557.24097861,2926075.81071882,14054879.1450813,1767926.64194797,12993154.0412442,9485068.93374268,10458502.444156,9223535.54733517,5481563.99202886,7999071.63772613,6930880.85112261,3842699.1456889,8323553.31502639,2730784.76976708,6237532.41598139,11404434.7490836,4044184.58892442
247.02454,3.223,16775425.2768472,34275156.0151361,51500275.6018834,18406005.7652902,17255367.012971,17340017.9520571,22087496.1403994,21935633.8600006,19577164.6717316,10557189.6318967,26936319.9243191,14841474.8830691,31712099.9085438,26945118.2812024,44433112.6470956,23800914.1043203,13456174.859851,8499799.8707617,21142436.7822457,17075583.2685382,20201747.1999786,22598943.7766081,17181124.3181496,21788211.3813166
340.16343,3.017,11130116.3866229,9688245.43810022,5884045.86297229,7565934.30080162,7534823.03937637,14477900.6556495,14776500.0135724,13119119.7282533,8346674.07459095,17106960.9359704,9012160.39576505,10652640.3543685,11299803.6288406,5497240.79422357,7938220.40717544,4780026.18121156,5803788.78462373,6836960.86923686,7133941.71094033,19828279.3689602,18301650.8121973,8897241.87258584,12336353.7872787,11575675.6317701
217.13136,0.939,519305657.196508,405266294.021169,412591315.773763,677153761.296424,785515670.900036,1082022071.15988,461356897.05352,764217732.603301,717873938.009342,770822168.303604,943699039.959057,876480666.067713,478959663.360034,511478583.809931,463180859.408257,506118117.703772,732858203.434937,486932483.303374,751988958.744688,665640458.944199,1468452374.06308,890889935.664993,809015426.721173,667885977.942466
293.16277,3.065,22485161.7681359,17056959.00795,14137575.7025239,31500225.8200865,60953288.0008478,23238608.0221039,40998799.4908007,26993592.1336336,30112750.7230455,24470943.3138109,19169902.2535804,17613357.021277,23558908.6353663,30056055.7644762,20430829.8014191,23522138.5697841,44919427.913419,18855348.208782,29012992.3229943,41063972.4788465,28967000.6257328,21473100.6846158,17089451.3623253,21854390.8156338
