m/z meas.,RT [min],Area: B6_1_ML_polar_HILIC_neg_01.raw (F1),Area: B6_2_ML_polar_HILIC_neg_01.raw (F2),Area: B6_3_ML_polar_HILIC_neg_01.raw (F3),Area: B6_14_ML_polar_HILIC_neg_01.raw (F4),Area: B6_15_ML_polar_HILIC_neg_01.raw (F5),Area: B6_16_ML_polar_HILIC_neg_01.raw (F6),Area: B6_26_ML_polar_HILIC_neg_01.raw (F7),Area: B6_27_ML_polar_HILIC_neg_01.raw (F8),Area: B6_28_ML_polar_HILIC_neg_01.raw (F9),Area: B6_32_ML_polar_HILIC_neg_01.raw (F10),Area: B6_33_ML_polar_HILIC_neg_01.raw (F11),Area: B6_34_ML_polar_HILIC_neg_01.raw (F12),Area: FVB_4_ML_polar_HILIC_neg_01.raw (F14),Area: FVB_5_ML_polar_HILIC_neg_01.raw (F15),Area: FVB_6_ML_polar_HILIC_neg_01.raw (F16),Area: FVB_17_ML_polar_HILIC_neg_01.raw (F17),Area: FVB_18_ML_polar_HILIC_neg_01.raw (F18),Area: FVB_19_ML_polar_HILIC_neg_01.raw (F19),Area: FVB_29_ML_polar_HILIC_neg_01.raw (F20),Area: FVB_30_ML_polar_HILIC_neg_01.raw (F21),Area: FVB_31_ML_polar_HILIC_neg_01.raw (F22),Area: FVB_35_ML_polar_HILIC_neg_01.raw (F23),Area: FVB_36_ML_polar_HILIC_neg_01.raw (F24),Area: FVB_37_ML_polar_HILIC_neg_01.raw (F25)
180.06275,6.754,4808872.41655006,7979953.33109873,5238331.33793358,7552895.24859568,5443934.80685601,11773390.0611309,12975268.5422115,7380942.04926455,13965195.2895501,4214722.19564029,10411940.237622,6700227.52422696,5975537.82084086,4086460.4298009,5939301.26088512,5041009.42761492,5990085.946562,8409602.19922129,12439954.244357,10407825.2743133,7791652.50782209,11628133.6112519,11059165.3094049,7464310.75431734
200.01359,0.893,65405.264998377,55790.0417790914,41428.0497289644,31068.7465581581,35463.6747508994,53679.9171292172,57000.4075696258,45849.786600965,43206.9001522929,38799.565753113,54396.7409254786,112000.15353067,61794.4574181372,50295.9018359909,67400.063098795,49472.2016308468,49588.378633947,47351.2883701264,47886.4582193859,35687.2693868061,45583.6231282497,39107.9841292956,37137.360126952,34126.0897179372
197.03169,0.742,6501044.50818525,12585677.0002786,7641519.83113677,12353492.2252668,2065016.80303812,10607503.3968397,11731910.6862755,11223422.95973,8605995.7977715,11842077.8326025,1668697.62385531,12055185.9407864,14595787.8518451,15715982.4780687,1908655.8582678,4691954.29464877,3526282.78781105,6259249.55291175,13928338.4020433,9061212.13473629,13261343.7405082,11330302.9746314,9586884.88319759,4007657.01832413
322.05118,0.604,2533934.20278004,1238647.08285398,652196.868851782,1885835.55896754,1178071.60079689,915684.435359994,1626599.87724612,1988294.61525643,3201965.39069283,1160806.45621036,1419198.96694711,584893.174863247,1475350.70621642,574003.829877688,1152638.18901357,641988.52113621,1945793.57486441,1847476.59777089,1322304.47141209,1689983.15864343,1011627.46153563,1682156.6702512,914144.34874308,1483559.05192936
214.02204,0.702,6416415.35740238,11716026.8915619,8588174.80654159,10334853.6873419,2052704.43095168,8636359.03937582,12921315.5061657,10684961.6862922,8901055.22593815,9253521.37785181,2735170.06295311,11938327.541842,14011364.8850058,14549063.0715577,3424977.36323729,6275040.74686159,5696976.6343251,8487692.4799423,14038991.7757045,7466061.43795308,12435191.109239,10660110.9890466,9287962.99845608,7083001.07212507
139.02566,0.642,819686.258897239,1217688.93993482,8363234.6541715,951087.357978112,1200671.44452591,1021300.93177492,1054010.90153798,816932.402254024,1073817.24311996,986806.054505604,979347.57900007,974991.132301245,1260032.49360413,506783.43386241,895444.573723755,937881.919009718,1115794.92465838,1150683.68926029,899630.546748067,1014967.97772259,997860.805387618,1202751.37580131,1081302.313533,1032773.21494912
244.0694,2.585,3008737.51218193,2697921.17247341,2048680.15070838,5424342.07002678,3438389.21800409,4595917.44020421,6097005.1787322,4371565.12844683,9921199.41868418,4817351.9602209,5509963.18246909,3576754.51075387,3286598.53029341,2349355.50520419,3380017.40174615,3429275.69013755,4755153.43257114,6062278.65502141,6063757.98614124,9885837.8225101,5737081.14957197,7019033.01537369,6191980.50564023,3187655.1095373
288.23021,0.774,73971.4591803768,61468.4229662017,39881.8588348446,32904.9253915348,21581.7671175386,14977.3798544097,39543.4894586769,38507.423360528,46370.2248216432,23162.3281931626,30974.1521686136,54992.3058226337,47831.2875831101,1393425.95507386,45496.166210531,27267.3779443189,17322.6839770171,25471.2129217234,12526.2210660485,31988.7831692725,26870.4720514019,27225.7653495575,43059.3873186587,28615.9871372681
226.06847,6.748,2747186.17078977,4744509.3849543,3014322.7689954,4014104.80148254,2952456.63651365,7318899.70064054,6297208.36287603,3769118.64047503,8809821.33144599,2564407.64599417,6305768.86539328,3818421.67048176,3537112.33854369,1753425.84032382,3054657.69131049,3493570.53524134,3051206.10129199,5212654.48673627,6830089.95144921,5680022.21261511,3960341.71522936,7828088.2499485,6370646.21663112,4464780.51215959
420.05832,0.617,80764.9888094992,89351.3617958758,170125.902430897,219462.614404573,121926.642228882,96040.6894026324,112907.237246803,57686.95012776,126291.325391727,126526.658128156,79682.9189478256,77756.723746176,87749.3347551419,167265.874662702,99045.7172425145,87114.2137865331,72792.4986436713,47016.2315515025,100971.275840492,165220.216168068,150226.671052583,80737.261421711,98450.2136579803,112778.377426005
145.07272,1.677,79640.8016737611,44416.1480575071,47663.2637821058,973439.297583053,458865.351271214,3155173.98844101,45665.0250020236,265286.873979048,1966896.23535433,922529.345252627,47436.9146474506,47599.840278282,227100.060933487,571075.781192032,848921.73664733,674685.56224863,703074.494903408,60546.5204436078,1902375.2544249,2372000.90492509,2544441.24517454,3900048.87614382,891172.783859244,48447.5044146144
122.03542,0.882,3863618.71200844,3796565.16956925,2613502.73580923,2208561.13436614,2050820.57845662,2625704.4384428,2973376.14244765,2990501.00764292,3484559.12191878,1951879.31172527,2592617.12288316,2590376.4307917,1903795.05954589,2104696.61765205,2360174.77933063,2301389.39314146,2512516.88626218,2121244.90427854,2653221.0291992,2265236.35975319,2778861.55342587,2575702.34493365,2886091.16955073,2364197.72913251
354.20773,0.631,3051721.63140422,342916.721107827,479949.37219596,1027682.26938381,343245.134616932,305839.607935131,292961.711612128,546430.713466997,319989.171833943,612219.375732789,420766.088539797,483539.447797283,308475.726891369,1803800.11999352,233166.122991693,263457.602572702,341989.687173295,285282.798012511,1139194.68033154,304898.199269473,313588.559416397,374062.040765029,358496.581372582,374103.03214577
158.04289,3.436,1434586.76100679,1177297.37717969,1153581.73671579,1741603.03238889,2333616.94092185,2509374.88186211,1874968.75337607,1890610.04319428,3083227.17312475,1222830.11565046,1436150.21834686,940315.578376966,1222636.93450544,1634263.69886912,1131289.55848961,1942105.876613,1707289.54982955,2093134.5231591,2236839.65112555,1720237.79406923,2467051.40815936,2679840.7518677,1604286.54563657,1476322.96626798
372.0733,0.625,144710.543709981,160393.652678667,304063.016712886,318503.702860706,250844.700694116,165716.50542459,137097.254200327,89550.7857535843,173001.575976028,149702.024276316,112210.131531592,132237.632495241,180101.555798004,386153.672482291,210503.383376876,72427.1348366726,129912.448019086,90563.7369110536,179728.130717011,254814.959971256,177600.249464826,142568.32730782,145183.104890376,193721.096509625
1398.35347,0.59,211482.525581507,235492.890767335,149914.152585585,368841.452078262,264932.828921518,157635.742197267,78742.8534142324,158833.266579153,311293.088895515,149941.816931625,158883.630892555,204974.620964901,160018.034001932,304192.539562506,132010.863976476,201984.945693929,205430.344844274,230573.152943447,210731.285012659,153028.717277115,148060.539489366,152955.332328759,237949.17199592,271888.380675075
202.06416,0.59,2425474.14083994,2144177.03369059,1852205.9233998,2129782.86356867,2511109.29607858,1974864.79911312,2281291.70027069,2374381.25894852,2006945.18878061,2054740.69517411,2487041.23477713,2014918.1864372,2316473.96917692,2064196.83769007,2272511.26183705,1672810.50602615,2317523.90990696,1368762.12993946,2756499.92084753,1997802.18268581,3314767.50286382,3419738.64406384,1997885.26153859,2137051.65153176
730.1863,0.593,277135.42283305,146158.257949314,267257.448165588,347161.382541868,228573.612205399,172849.834513152,92401.7849806949,165185.424724737,396511.618638374,208750.047269678,173509.476921129,229441.17338943,189509.836796882,326016.68681806,228217.195270528,191005.306005573,239006.32037338,187125.639427471,220292.168488519,205484.983482561,178658.287135437,150457.317274712,243164.786916306,275246.135574552
222.84928,4.815,4010887.85323176,5102753.89177303,6109102.99921334,5328535.04412356,1550719.43650188,3907888.44313361,880048.058525027,2609103.220639,3328990.11083441,2579134.86149208,1706433.66618332,2053718.106501,3630365.84566447,4358386.76363447,3274714.19487116,1833255.91749215,3153987.17754496,3276585.1413717,2756861.96290455,3057953.37989417,2096454.14379916,2916782.73511154,3692568.84937471,2856611.4188624
289.9369,2.308,1484738.86030021,2135901.34187499,1734069.38795765,1688647.21659209,2825290.73946211,1937822.61293478,1458888.88619971,2337793.86143751,2846828.04080161,1457758.35762826,2020288.59047628,1368883.38466328,2242917.78019265,2001988.71408691,2264040.6109007,2139919.26027779,1189213.94321865,1340137.08153427,1828953.73761055,2929619.27231088,2746447.23515133,3239490.97462681,1427523.97244491,1951355.38743588
278.19158,0.739,1049845.62611585,25828.0911971487,15552.3957944552,3308402.9215615,987586.717633323,121785.108209678,72822.8179900787,33065.8948922806,22333.7837650618,15615.1220196409,14895.751607003,128357.624795838,922481.122738656,39516.4251677229,14885.468404944,30686.3379777139,14779.0900850903,15897.0051039651,588567.016931301,395840.338572411,233792.469952876,1263689.2010605,770643.05018788,130352.125948522
125.01327,6.751,1644777.13698538,3426300.19026903,431053.267168276,1011525.34564266,2628788.0167866,454533.599941872,1928680.54989496,1781243.14501686,3591719.28454046,772096.875591881,1456912.24152242,605229.959910949,2034808.92522639,1229012.42983722,1881335.71034038,1112295.51943775,780884.36714358,704789.060398643,1741427.79917167,1781915.51727487,2626621.66625004,1796907.27597702,2216078.65040784,2048723.87774696
522.09037,0.619,74816.6263742567,83952.462767144,226747.845111186,268355.425201962,129226.597899439,50477.919232254,111321.410290332,38730.1688197177,110688.291043568,125299.646947694,47948.2386369787,82228.2680474183,74569.1470252897,317857.988113119,116229.67366221,68490.8664028602,57690.6717787324,48129.9441378911,100455.857800831,188884.508655028,116378.439206039,43513.1112310404,90105.0135025287,80323.7052050144
452.27788,0.796,32093.6732059987,65975.3695739113,35932.4266228053,577785.884497492,23438.6124167054,3409515.69585326,93770.0837694583,14122.3103323041,12755.6724150848,13898.7303160317,13463.7183803298,13552.1125296744,212580.4460392,186025.779250092,86473.8051259566,452086.851644547,707886.178595009,1114749.8430172,13706.5127806149,13800.3204913606,21581.6841833304,15914.179617487,20874.5188233603,13798.776392092
406.27546,0.812,1179010.67297034,1350807.54390419,1239304.21301899,849413.449898873,1340064.31790599,2053210.89990107,1389288.61685233,1645865.00382367,1207574.91460986,1529327.3276149,1571548.41651273,1480237.99767543,2333023.48038367,1472528.21252947,1341511.80565069,1659304.73576719,1706550.11011098,1322568.86366912,1434114.36093132,1362906.21614124,1338295.01455306,1328081.01164518,1155601.58737483,1355001.64807988
300.03372,0.712,166003.315363249,137676.66864425,279311.886280998,227520.110930368,179750.017141194,426782.357274346,125829.351749329,134963.393961563,218598.013621321,123287.765450015,202121.842448763,225050.248011602,168527.083284801,197238.432934815,264402.340291203,394593.953766472,144558.074798264,171002.670648202,190686.874038982,223859.158739791,117446.53262314,217751.671740739,192826.09551093,143984.735143153
236.14438,0.92,40625.2533138154,15036.0282117573,16879.4352979379,67606.9660683419,12503.7229277837,23215.5006012388,16549.1534840973,20086.3054798979,10911.1467872041,12194.9660830699,11252.633827547,753511.637729896,21040.5764908148,12166.9950367005,11922.2183145844,11900.0114371152,11056.1951040991,12131.8725608454,16259.7992213939,13097.854936546,11495.3058591881,13782.9390943365,30047.5340105389,14700.3610299813
319.91196,0.897,849313.56435164,822975.900892593,760422.472115684,902769.942462841,592071.457143308,722647.315809475,596645.711746469,576371.44621606,645619.559993518,439316.393220392,515375.093937692,487459.083539039,736462.83234403,777362.872346766,688898.63244537,727345.725991605,685382.499621543,656646.86712474,534776.085204569,490601.915138558,498251.733974617,480776.628279432,538479.010587473,467396.540431593
237.10324,0.787,889206.184650107,365516.618577162,297544.680329623,569077.406782473,295268.771039532,297300.204744943,237257.040755936,363787.83403343,275770.210007051,193985.978805542,181300.436423043,181470.847746941,333044.778709559,329193.743792392,303637.296790918,316129.941121656,326931.193791898,271121.047032193,247910.990896206,238068.184316423,236967.815496598,180979.474172202,185591.709846417,154750.668880022
230.09585,0.552,526064.315482542,404019.059174387,884439.881512591,401422.012150869,275963.387762854,304704.032495078,302613.585526634,222921.69678813,132897.552557974,293072.514196437,278730.598790947,211630.746466784,425094.472535363,307928.220220459,246831.025858211,338098.520769415,338903.422715833,233401.00631422,287937.981660807,252119.459248945,295433.47018134,278577.432538293,240354.294897145,219728.447424294
133.02627,0.526,30877.9944609245,16978.1630686678,134175.343429534,164626.612150007,62849.4097745736,564455.196133715,146822.744318282,58853.4881599317,408486.853443526,131271.977548453,139611.887772237,17394.1835212529,151205.82420429,72262.6970351185,200927.351892234,117897.430180859,129829.520395366,17647.2815381523,510791.297415076,765919.294005041,319019.459722154,1022548.15021246,149622.194640722,164956.770511421
252.10314,0.792,525934.617861315,296732.132631805,575736.907729535,298735.323386861,312242.892656,466777.236169285,711365.244652471,889855.913783807,870100.457986219,848989.563343838,399280.984844298,441933.441418903,190052.713705015,282249.972706683,154885.359635022,617731.202603391,590567.947203536,1042591.23204124,805764.894943811,523147.963629175,535666.969346604,784346.019960539,681236.12877325,675835.578250042
138.03044,0.834,574096.354724213,437296.71590392,1131074.8964805,431197.254035236,279002.813326436,310864.486363101,371056.402252552,321905.452353002,270939.173656612,366240.854468095,294016.93516552,271589.345589385,483604.320800449,411432.624866884,371699.856684232,284248.590582394,339833.217061992,395226.306172803,465589.831264535,255450.554518691,308344.819073502,391325.170884427,377415.992629304,194297.780680739
127.97642,0.522,53614.23835314,14193.2129768723,15453.977775931,139924.885085968,35346.2696276048,635811.086682852,56714.1410485708,14642.1335251992,243971.849073681,127270.095035069,57146.5452956627,41866.1948496899,61280.5142562609,44329.0469517783,104692.80100072,90449.8181130226,74485.1056907557,57897.3923656032,517653.51923513,1121481.96480501,225680.597414767,1140104.29499728,95493.77496056,50358.0444275201
305.07231,0.689,13697.3332266502,13742.5251858942,15874.4828628935,14586.0835924947,14707.6286244184,13592.0913405831,13819.4405996801,13935.187479305,13588.0420001224,14541.9379040789,13182.2980392117,1247706.63584631,15137.5294685755,14633.999763109,14307.3758023075,14880.1831398853,14024.5745018637,14101.2195643175,14428.5572270197,15007.5207397764,14573.6531977167,14552.9045628277,14257.2940345137,15303.7663367719
317.91481,0.896,1125545.9696374,1183434.9224023,1022543.98795276,1317191.19125211,882140.844139001,1007604.3872749,834462.334425675,797379.289605769,931749.485737302,637559.990647956,708172.17544437,664473.633770687,1010781.95718713,1024856.39067788,986162.61426253,985118.750792917,932777.432251118,950112.663806229,773433.873550096,702195.670017638,739127.780763003,702997.389807817,785402.738993034,677479.810365907
436.0897,0.627,36705.5955998077,58767.9885600204,120637.350046353,130195.624582881,79464.902658275,71426.0189174501,74464.3358492428,44758.7139588051,64889.2194874329,58219.9454512748,28345.8127072994,69991.1839809272,61311.310665823,214321.109736124,80347.0572655929,37466.9257479044,29513.0796873465,58471.5295271671,68688.5995935678,83951.0268847753,77067.8987152325,26261.549732469,53692.6810923105,35327.6830629591
136.97696,0.591,396125.014227677,183328.494663387,113562.563571702,2586961.83656557,1425755.80597607,1561594.33196342,110663.401374735,651720.40557939,2818853.04677327,932742.300291774,157923.969845389,272811.847050754,661128.539567014,909391.133375765,1184688.73030758,1175786.26398002,1612189.94514869,163043.125331304,2160695.71512458,1587109.00473019,1490452.7134218,1410552.92352974,1203400.07331828,177662.135759539
454.29352,0.939,22344.0338503828,62826.9793294605,282140.394520753,3549982.05209299,277377.325570265,17827482.9358747,40478.0959548564,195400.37867667,19615.8931530021,63276.0345304477,64845.9457087354,53671.1312435284,2884867.83576034,1606613.97057724,2003266.62425401,1411152.38238013,4035393.00050014,8017673.58919457,25497.4177875831,18466.6389818727,15278.0283213325,113530.240885139,145360.741702447,201484.163434739
111.98165,0.992,39639.3127134199,62851.4060526532,1558580.9887648,61262.259324656,71208.5161848504,74843.3105421465,33151.1084364344,31432.4197851926,89669.0287255254,19508.9350339122,20059.7974394766,30491.5423341843,50838.8353614121,196198.615499174,67947.1690728741,42641.5854459807,35250.478978066,20960.4582058805,33549.8255611309,21113.1541276305,32963.8724242923,20350.6852460225,22092.3571089171,28863.0204397272
388.10492,0.59,48454.714267035,43648.517289964,39032.5472850269,126283.997286466,57711.973029901,75639.3835555925,59745.1465436155,42714.6315820893,113542.569727663,33116.5877888673,58469.6142080263,70718.1775511507,65089.185241588,119115.039491902,44201.5910272396,28586.7939866759,56499.0193930234,55057.2574658373,76438.3056978165,77155.3836727553,61103.4838374792,39861.6607464487,63741.1040462231,66281.219017843
