m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_nonpolar_RPlipids_pos_01.raw (F1),Area: B6_2_ML_nonpolar_RPlipids_pos_01.raw (F2),Area: B6_3_ML_nonpolar_RPlipids_pos_01.raw (F3),Area: B6_4_ML_nonpolar_RPlipids_pos_01.raw (F4),Area: FVB_1_ML_nonpolar_RPlipids_pos_01.raw (F7),Area: FVB_2_ML_nonpolar_RPlipids_pos_01.raw (F8),Area: FVB_3_ML_nonpolar_RPlipids_pos_01.raw (F9),Area: FVB_4_ML_nonpolar_RPlipids_pos_01.raw (F10)
282.19826,8.621,5443571.37791287,4307244.22544489,3479481.63869876,4226145.92873671,3391147.81733615,5443571.37791287,2834871.54694144,3584890.92922627,1775185.40673861
794.62132,8.532,4831630.61532024,4831630.61532024,2914665.21370476,1991835.09362826,2313332.64791142,1608829.69205782,3731214.48660184,2183066.91047472,1829936.00345794
794.62187,8.825,11499008096.2932,11499008096.2932,9016798584.26267,9991972990.34066,9851612267.84912,8658205656.26366,9951424585.79411,10211847805.4534,7877227327.98537
787.53657,5.026,14095878.1870422,13220736.6784122,7340328.49180678,7677270.1106047,10879861.2771498,11611711.2368394,6736691.46015536,14095878.1870422,10890720.2174843
837.55157,5.248,63567728.6562339,63567728.6562339,39926879.7035833,51725456.9345545,55896973.0535734,57064257.5563554,48253005.0816769,58870277.3642892,52026253.6535926
899.67617,7.465,4711071.4503184,3767931.14154634,2579333.36654745,3426938.11893184,2735247.0584634,2678877.57326999,4711071.4503184,3017468.75915293,4465633.75237781
901.69312,7.492,4723111.14837345,3801112.37848497,3109019.44076694,4723111.14837345,2693559.75466763,2270384.42916863,3123344.91702351,2288991.65077097,3148156.81710416
875.67678,7.54,14242926.9393613,11887976.9623997,10440297.7891396,14242926.9393613,11263021.9604248,11490972.7872086,11875781.7741783,10718283.7976,12132472.4624718
875.67693,7.515,13267463.5995518,11887976.9623997,9951061.01169365,12913158.164702,10721804.0248351,10615474.4625502,11875781.7741783,10718283.7976,12197274.1024854
875.67813,7.293,7731187.38341386,6061515.8338613,4996099.98585967,4541400.85480912,3833710.31715897,6944862.98224555,6425758.23183407,6352898.0146687,6664595.54124385
847.64518,7.167,80500032.0905495,73964879.4787714,78684211.7011801,80500032.0905495,68931702.4167704,57001780.6642355,66485030.1368681,67913675.370924,59196606.2392513
847.64528,6.901,9400501.53538297,9400501.53538297,4915832.10922174,5529577.27246317,4489858.65402237,6599316.35061577,5655536.95494176,5236154.00923093,6196936.80424372
849.6606,7.564,5472903.44911025,3215892.88815862,2279548.27223135,2126737.36815239,1628069.51520597,3157427.50721641,3284235.63068406,3132289.6449778,5472903.44911025
853.6899,7.613,6472816.39795681,5195215.50467271,3555007.4590845,6472816.39795681,2864710.56373852,4645284.74627369,4346983.85839748,3062417.72682443,3918242.22327893
853.69517,8.939,2655804.20438949,1957779.32917199,2460798.21819242,746008.177049569,2098594.72158166,2582687.82508718,2655804.20438949,2340771.80355665,1963128.03369753
817.59785,6.69,64489426.9786278,56595134.3417803,41165796.5776206,64489426.9786278,44153399.023129,43831467.8493854,45077993.3186058,58752845.0648186,34339537.2480987
825.65935,7.384,5639225.62919036,5639225.62919036,3010566.97465568,2862944.73111828,2933828.25879617,3698708.59971394,3321114.18419418,3192414.16091583,3226899.80184189
827.67451,7.655,3631576.20169754,3365360.88814114,1738393.92756888,3379119.50980848,2686688.75610532,1987263.68322918,1673257.98947599,2157290.50476006,3053760.13399311
795.61412,6.711,29696734.9774467,25492433.5364436,23906514.224734,25147129.6946178,23998321.4032548,29696734.9774467,28211884.0075941,26823761.182019,23948012.0305557
795.61366,6.846,718789726.573851,718789726.573851,668502403.485994,625512257.754981,602251487.799005,624313331.446436,512722529.105335,444786741.291543,436632784.786849
761.53518,6.678,3342839.77539777,2777279.74678185,2617214.25761271,3225059.35174773,2468013.78485162,2212821.22495922,3342839.77539777,2571042.55770145,1924484.86793788
767.58264,6.388,1577017942.44569,1577017942.44569,1436051323.58398,1564419061.92349,1297388866.6686,1026703296.48536,1379111080.41076,1418134667.47623,1273775385.33112
771.61119,7.11,37234969.3439525,24652731.6520888,19960586.1150714,22863081.4213907,18917006.4899547,37234969.3439525,17858906.0235671,18944036.5961291,11813848.4264941
771.61399,6.9,93475472.442874,68131943.8710518,75124191.7904433,93475472.442874,50997794.1124507,63183088.391091,57798779.5976448,44331514.5727882,41962643.2342134
749.53624,6.708,36623949.1996217,15169936.3337725,14664692.4009456,16528938.0181306,14910210.39643,36623949.1996217,19892200.9336595,16527886.0503747,13427086.7803668
749.53638,6.581,61157062.6797064,35653561.9853425,39002194.8481948,43366250.7644817,43717273.0080811,61157062.6797064,46313434.971446,42830440.897157,37475001.7772473
755.58291,7.425,22006627.0414715,15813931.221355,16346333.5068437,22006627.0414715,18921897.4367691,20488954.152084,14534197.8854222,16521013.9976831,13567820.7796353
757.59846,7.676,6636229.91881267,5003022.6166441,5802408.21738453,6636229.91881267,4917181.59342362,6613448.48511062,4097850.06151823,5426912.94413293,4587734.98695493
757.59846,7.475,19567050.1081612,16979911.0393636,16729981.0743619,19567050.1081612,16822382.8376531,16029204.841653,14280040.4964505,8644108.89893478,13857932.7768263
745.59917,8.552,3448646.06302171,1562038.80842546,2359826.82491313,1030227.30260537,1726098.78361023,1818902.78387341,2636877.72452188,3448646.06302171,1475259.27636097
723.52034,6.525,188142336.16837,143185577.832597,150181828.437997,129644683.830215,132193063.009656,188142336.16837,147284317.392859,143197332.465317,152064383.864978
727.55173,7.042,87182854.9898543,77251993.98156,64233640.1398579,87182854.9898543,55126596.3901209,79758231.6468022,39540854.5001538,49385408.0920053,38180670.5965406
729.56764,7.094,32207059.7599625,27137178.2489286,14851363.5951819,32207059.7599625,20230599.2232257,22119375.1670623,14937944.3380973,19838883.9625075,14424952.1032007
701.53632,6.944,50088683.1568994,31833973.8787806,36151920.306037,34099734.6428846,43167810.9759828,50088683.1568994,49097407.5530845,39854747.0712813,32404101.0016847
607.37859,0.489,3440129.27709724,473859.370588904,997780.634942884,1027885.93588457,920680.134331319,697771.61196316,3440129.27709724,963901.069499095,796908.202236087
563.35227,0.49,6364597.85767995,606205.906217605,2193975.20605977,2129630.69773896,1484620.25752102,986198.096340579,6364597.85767995,2454365.95395822,1695278.68557614
519.32613,0.491,9971538.19883746,927975.82401263,2515558.74476329,2982589.20446209,2820410.16920407,1447659.36840094,9971538.19883746,2382992.31167105,2156016.924558
475.29973,0.492,15509836.0337427,1214809.31919737,3350064.08388116,4172802.66867777,3275563.61036423,1708425.39272225,15509836.0337427,3192211.91669919,3164638.02989093
957.81418,10.037,4028048.12512008,1897876.87589476,1288443.70716076,4028048.12512008,3903992.26843538,3532347.8492513,2200938.41333079,2187604.22969844,2180765.62104801
917.68886,7.636,7042109.07575886,5448604.36787404,4633426.56788608,4134603.85204326,4625042.7278015,7042109.07575886,4396770.89371816,5085429.47313137,5584216.06714923
905.59589,5.997,7309093.52993491,3529122.46196421,2724191.39877866,7309093.52993491,3423690.09489047,2459210.00168113,3805304.4560683,4370386.19682813,4058603.22979506
887.64195,6.884,4276969.98636186,3221314.05150854,2739353.83483627,3815163.32285119,2520402.00529515,3275214.92741234,2986217.09871742,2826059.69760578,2850088.84127932
889.65616,7.041,15029551.4489073,15029551.4489073,10714954.3933807,13350979.1985367,12682422.5434553,14287736.4772327,13474841.5846283,11859413.5594919,10098530.8752689
889.6561,7.294,7955396.14790434,5815079.22593002,4624896.00290027,5707833.11412168,5960962.48426504,6359583.06395139,4342174.79293819,5608942.36251689,5628442.301438
891.67191,7.354,25403024.1519919,21221664.7719478,11797225.9261884,25403024.1519919,15586473.7183954,25011761.2405506,23169102.2374032,21844217.488067,16736509.5378733
893.68744,7.707,36425951.0766323,36425951.0766323,23765874.3487544,32712640.8740709,29483398.4874224,33116540.9636833,31626984.0304402,28747937.9359208,21884897.834831
855.57793,5.852,12483831.6610107,3200149.71675835,5045189.20398637,4475575.1646429,9421766.47140385,12483831.6610107,3107734.82844549,9162397.18335581,1269828.84306196
857.59303,6.077,31254169.1682403,13395536.6041421,11104787.384459,9292978.64389302,16979932.9544478,16039679.1356041,13285070.8043953,10705678.6421789,31254169.1682403
859.60881,6.453,72786536.845796,50430774.1989475,52793299.1495745,43009368.9765894,43104198.3843103,72786536.845796,51701512.7121349,41658007.0269559,44570827.4958143
859.60802,6.241,3174362.51413184,1789674.02834162,1561471.5216597,1834809.7967494,1436892.82572541,3174362.51413184,2009527.79289882,1100354.54093773,1228791.33019184
861.62459,6.899,52002038.2125123,48407347.7943881,39090394.388078,52002038.2125123,51980545.5316507,42330891.1518409,34639419.6204039,34952620.9247159,27547492.227592
863.64038,6.987,89666149.706537,70416853.4040862,78160841.4374109,80039579.1705711,65990036.0622791,47704742.6106228,79544863.160639,66614459.8305204,50087805.5122577
865.65612,7.187,66352998.4094996,63854383.8409374,54047022.4848738,55624298.1805393,48776888.021417,39604989.1718366,66352998.4094996,58578815.6338555,53164390.254515
865.65598,7.087,15193095.4952371,11297459.6340673,11436368.3876084,14437997.1172965,1924396.64867802,10477452.4739833,12919458.4366111,540817.751780687,11951209.9581977
865.65603,7.374,39799276.8691611,39799276.8691611,29275524.0765388,39429271.0230655,34675880.9688342,35746059.4524591,36795344.5152174,28755849.6670657,25980977.0708521
869.68764,7.752,37341925.3743988,31550318.0268316,18280914.2461004,32625633.3201137,25432821.7890157,37341925.3743988,22596741.137832,27489574.9525398,18987257.0324789
851.54672,5.059,8905536.40382003,3668056.72006582,3885718.98679703,8905536.40382003,8336343.07744889,3324385.85485335,4532273.43309212,5518028.19797476,3515746.09056981
853.56157,5.459,495184675.439067,495184675.439067,316485873.609891,491858269.171381,455507762.674917,407062499.185811,340960817.827273,383485626.087713,268116760.780906
873.71855,8.274,14615339.7835241,6528500.81127226,14295163.6746689,7399158.9376617,13198934.6967999,8099034.19637379,11103727.3569126,14615339.7835241,10298603.2359182
845.59313,6.236,21264724.7434379,14038026.5203432,15290221.9120785,12117070.9524997,16949699.7957074,21264724.7434379,16065476.5831669,11231164.1582008,13314402.009872
849.62236,6.823,6067682.91324927,5583962.49492403,5548070.60430473,5164789.31831074,5724130.21307121,5291587.36472405,4097822.84034019,4906395.32236291,3631960.84997743
849.62212,6.967,7930993.25348605,4154026.7397,2355880.56831816,4373541.53734075,3545227.56033503,7930993.25348605,4117237.10785133,2819235.09972674,2322837.02928311
853.65422,7.213,2649139.64312448,1663116.47082375,1257279.36680903,2398977.05128669,1897758.51977873,2649139.64312448,1525293.9287129,1508241.59325256,1344885.48584426
859.70287,8.108,3275368.25880992,2969885.08782226,1507310.57863385,2078778.8349735,2128152.33553047,3275368.25880992,2885686.26763097,2611830.12667037,987112.821481822
829.5619,5.574,2534028645.21914,2534028645.21914,2097134324.77958,2246988866.46664,2398993933.20294,2526002713.28077,2325869306.69269,2107978023.05469,1811747113.92731
831.57717,6,3148455371.09115,2755567051.1398,2762219465.45247,2508185857.41615,2811319479.96655,3148455371.09115,2965897643.92276,2675302826.7217,2664461797.45342
833.59363,6.446,8101409774.924,3505068261.0117,8101409774.924,5604045226.41987,3204538318.76114,3910089606.37214,6931711025.37062,6447036379.51056,7080619950.59277
835.60869,6.586,158931981.081785,116408414.672735,107297105.52976,139814052.062148,145840263.759291,158180494.594582,133562598.88343,126579395.477849,125698116.645463
835.60853,6.737,610698517.922959,293169569.495005,331045142.908853,354732091.006647,239724389.392561,610698517.922959,405065036.578117,412588968.192272,179309291.447393
837.62435,6.871,559433628.856186,462710195.178106,431905856.099532,540295172.489739,463175364.366551,335703281.399421,554738795.938714,559433628.856186,452220402.998784
837.62103,6.705,70504040.2073493,66983632.8985238,61930772.642054,59076707.466506,70504040.2073493,68237794.9400932,52994389.7912593,20320118.8840794,40361393.778394
837.62443,7,216375488.646673,206265543.739524,121002895.324119,152839342.971563,170374268.286608,216375488.646673,175131498.816212,151353729.615507,108855714.858469
841.65599,7.41,73611454.5247492,44295940.1383126,34664740.7219366,55742529.7808542,42172383.1344469,52573628.3001142,73611454.5247492,41016557.7167485,63218068.6763253
845.68733,7.958,19052497.1993967,15707571.5848392,12603738.0218461,19052497.1993967,15066248.6191064,17147609.1798994,18134415.6929783,18346661.5262167,11840266.9329406
817.56108,6.674,22908120.1795728,13124994.2790616,20658449.5826628,13191436.4939577,15695795.4982645,21061929.0057494,22908120.1795728,19112569.0763208,17090995.8883343
821.59279,6.356,120563479.397036,76786833.8289544,84124283.0869884,84524954.1256381,96058106.347757,120563479.397036,97348183.3152181,80789554.3379948,37097684.0344288
823.60857,7.313,19609998.8903247,14834177.2931444,10437508.1195239,15244924.3270485,13894659.0066097,12822001.2693757,16670586.2623065,15469365.2046716,18593344.7279001
823.60759,6.531,2450070.8307863,438610.331471582,591143.66822472,1874467.58854652,833163.083974168,2450070.8307863,609332.063124793,511979.763972805,401757.348394198
823.6089,7.371,60094477.97438,46258340.0161185,44779168.807725,60094477.97438,38862882.0892306,38988765.0797413,52225460.9971643,47261475.0963644,51380708.361366
827.6428,7.743,7841274.70489154,6017952.92584852,7040831.3630255,4958546.56936926,7841274.70489154,3654946.93565055,4719214.17404921,4059219.60013756,2470227.95697063
829.65636,8.101,4720778.40910231,3052495.5700336,3086135.17489917,3684296.46923557,4063143.72903873,4720778.40910231,4264144.65575427,3559402.67844144,2955212.07155622
829.65581,7.493,11223584.9318173,3517325.81704298,10187039.961023,9197891.97761198,5831482.36205123,11223584.9318173,2706765.57022283,8799666.04487677,3736470.79798461
803.54614,5.438,1501433102.73986,977597058.81704,914286765.76394,1179550666.64899,1340872204.87411,1501433102.73986,1001071952.60839,901077556.266048,767755040.45129
805.56253,5.938,21935594756.4829,14414500592.2961,9370594485.28327,21935594756.4829,15766725166.0847,16674651519.0004,19715327718.0437,11653057959.7555,21335198663.96
807.57713,6.267,1738640242.26919,1264531675.33869,1095558285.2328,1527214788.93097,1270205913.65447,1738640242.26919,1356504658.19447,1414970834.85469,1134389789.36024
807.57709,6.099,2798016880.14146,2034172708.92925,1908917974.09676,1782316834.70424,2410601448.67181,2798016880.14146,2177590816.50449,2030702721.60789,1972594387.82634
815.64422,7.425,96906890.142532,2136705.30268438,2387265.06260926,2188312.40761019,78290062.4058795,5008396.88207794,2095626.89932968,96906890.142532,79994233.7296138
787.51211,6.331,6874909.1226586,3007084.1341605,6874909.1226586,3427822.80622435,5107718.68683838,4953210.85387974,5758462.95310604,4235920.41287408,5299300.04441157
795.57723,6.34,1357899616.19322,1357899616.19322,1301634898.10342,907692205.425186,836413139.881109,812737927.041463,1156841166.72347,991408924.163525,363693030.656904
795.57777,7.04,336905326.654312,311438108.857305,263844224.101122,303867049.704099,278584548.347576,286705875.987186,336905326.654312,334967193.090797,251190320.445455
797.58966,6.685,6801741.69108704,4565769.81586996,2568124.06249374,5823215.41192374,6528118.05248771,5417921.83864956,4206799.6206055,6801741.69108704,3760101.91506944
801.62477,7.133,111001078.561258,101448819.469973,73098173.8835877,93869111.3314611,111001078.561258,78095996.7169146,91775573.573702,92451342.5780028,59900595.5751325
779.54588,6.705,6369252.3763039,3095927.74832636,1934334.71404935,4235884.33569472,1590449.74086055,6369252.3763039,2983133.16465687,2966735.47701926,2020261.29807491
779.54338,7.298,1075622.6770438,1075622.6770438,330246.664709449,88277.9199854573,108903.871064817,70297.5548293408,91068.1380637316,322659.244757992,450519.964933819
779.54672,5.715,1915282382.1581,964188920.362738,1074234907.8568,1915282382.1581,1671453453.67113,1021564144.39917,895012994.054004,1425766939.53744,932635077.389624
781.56251,6.054,17030951396.5722,12195688965.7536,11794690225.4065,17030951396.5722,12328287876.3855,12057822511.2904,15617744721.8218,13361991917.2813,13986780881.7772
781.56287,6.963,195198511.518485,195198511.518485,136006040.707047,121018588.687175,151705272.595158,119049468.88511,110493804.576539,116795847.304278,86921729.2990631
783.57862,6.95,9515417797.08666,6078068294.97793,254290.016541717,6174249695.02824,5872768706.96974,9444264133.71614,1328526.95889575,6656754508.21917,2111859.24832117
783.57777,6.243,9680659425.20708,6077961352.94357,9680659425.20708,6174136728.23092,5872655932.9869,9413259842.94941,8015959568.03842,6656639763.07401,2617315280.17813
783.57713,6.694,4599660.86013035,2137317.18026992,4599660.86013035,4125191.21165409,2004245.03299302,2331637.58494893,2482698.60637029,2064264.60406296,2804629.1395595
787.60665,7.326,8335516.04141656,3731501.12723996,8335516.04141656,4729716.25191506,2552850.90363885,2988911.08703223,3040501.93831849,3721009.69436826,2453037.08149605
789.62436,7.3,137825288.013743,135604951.540724,121301864.504408,126699799.891821,99366044.3465608,132606267.555212,127589040.538597,118446690.479494,107208880.610657
763.51476,5.891,253850161.345766,132704311.953829,101187630.558089,145382902.275779,159286186.301243,253850161.345766,122421724.259367,136165918.297139,116345608.921721
767.54826,6.221,1319645520.56697,1239553659.96543,1289066186.33394,1133905701.11355,1185265412.19586,1112945228.38678,1228737670.57156,1210141206.22214,1208563119.4537
767.54663,5.79,428951505.393036,428951505.393036,309161831.102514,367258509.213738,288251016.214254,394356589.190881,379945703.666001,321043485.41443,231092421.909527
771.57809,7.16,138826004.613204,107243600.129402,68886662.0254077,136164925.09119,74333984.0398323,87649607.147726,138826004.613204,114605381.727196,88407641.1903973
