m/z meas.,RT [min],Area: B6_1_ML_polar_RP_neg_01.raw (F1),Area: B6_2_ML_polar_RP_neg_01.raw (F2),Area: B6_3_ML_polar_RP_neg_01.raw (F3),Area: B6_14_ML_polar_RP_neg_01.raw (F4),Area: B6_15_ML_polar_RP_neg_01.raw (F5),Area: B6_16_ML_polar_RP_neg_01.raw (F6),Area: B6_26_ML_polar_RP_neg_01.raw (F7),Area: B6_27_ML_polar_RP_neg_01.raw (F8),Area: B6_28_ML_polar_RP_neg_01.raw (F9),Area: B6_32_ML_polar_RP_neg_01.raw (F10),Area: B6_33_ML_polar_RP_neg_01.raw (F11),Area: B6_34_ML_polar_RP_neg_01.raw (F12),Area: FVB_4_ML_polar_RP_neg_01.raw (F14),Area: FVB_5_ML_polar_RP_neg_01.raw (F15),Area: FVB_6_ML_polar_RP_neg_01.raw (F16),Area: FVB_17_ML_polar_RP_neg_01.raw (F17),Area: FVB_18_ML_polar_RP_neg_01.raw (F18),Area: FVB_19_ML_polar_RP_neg_01.raw (F19),Area: FVB_29_ML_polar_RP_neg_01.raw (F20),Area: FVB_30_ML_polar_RP_neg_01.raw (F21),Area: FVB_31_ML_polar_RP_neg_01.raw (F22),Area: FVB_35_ML_polar_RP_neg_01.raw (F23),Area: FVB_36_ML_polar_RP_neg_01.raw (F24),Area: FVB_37_ML_polar_RP_neg_01.raw (F25)
276.13209,0.803,12454383.6152079,13925573.0289544,8339091.70950872,18496326.6350314,39779604.9333913,22518651.7699308,24765518.5505814,36830466.0658196,29643887.5807357,28104528.2094555,44323079.4790358,37473509.9558574,17687612.8282781,5768106.50148416,26014780.0339219,15557641.9636705,24526923.0806235,6932786.39859457,40148060.008502,37356192.3068871,49693608.3535988,65201585.625573,36511307.8201742,55738312.3676538
349.0943,2.711,4000674.55470727,71599185.0570183,54318662.8885586,3929927.72786889,31343668.8206105,15294498.3374463,5203884.03092026,12262983.5491089,24852326.3102275,293719.998917765,12062996.2416068,679247.366534385,64088603.4604764,30491694.2907979,58921628.887474,16196984.3723458,1297687.77607104,1041043.59524969,4884984.90036518,16192756.5977704,20144386.6883553,5116962.03248341,2355093.43394679,11801355.7914028
249.08624,3.383,22924844.9970388,21922134.3027488,17732327.4974891,21584896.6804705,24085383.8433164,27604839.3824514,39300606.6390895,28645106.3252412,42097076.0403086,39184111.2167555,49606875.4469396,30676198.4253973,20103957.4468615,10283202.1146639,25072484.3018114,22221004.0312254,25973908.9872094,18785309.046507,31761076.6953518,47624108.2767033,56627974.7839045,31636284.7874718,42762049.5398571,25842910.2250327
221.0352,2.683,1303910.7495161,2649104.98136823,1603417.49960166,5489773.24901094,5967094.68529936,3495264.98143421,5305480.32293259,7987923.08556375,3880388.46113463,2387466.26038294,341241.487200022,164518.801436049,1167465.68074133,3233757.73792659,2377501.13908286,9538187.18575425,1138775.55760871,665635.424849832,2315706.91514702,3366410.54996968,4329788.98113234,829957.072136187,4334535.93167926,3442727.68482755
309.98525,0.918,5337349.45142587,8883398.5032052,10174607.0549052,8535597.09695979,6047463.33874101,7341362.86645355,9240797.15602469,6435193.30193075,6559901.74348547,3450586.51481882,8328697.91390097,1447109.22093883,5374905.19169551,9680581.2415592,11522668.8472142,8854995.98639856,1522360.17527373,889664.412102561,5065671.98346751,6133663.08621591,5766019.99313507,5917658.03563644,7508070.08077934,7543122.49975985
388.20977,3.495,86116.0226648773,81327.5462962775,63444.0305279633,56105.9628702495,55701.6444270221,74403.5592394764,4885477.7612494,2672645.15875162,555274.042704354,2154556.48936374,4250583.77115086,364849.994093891,629166.047434106,69849.2720250375,1405140.49667496,293271.68061123,563501.107848723,513403.539041434,4091291.77432677,4446409.88632437,426112.638099787,1912372.71814015,4478155.63405769,4734696.23054421
307.08364,2.754,91030113.7260344,112860508.505137,120167972.908186,79821921.7013597,90157694.1158901,118009080.543038,95687034.6078174,96581604.0733066,82929703.0692531,97962382.8421767,134308539.350548,72951713.998449,207329980.696049,109586756.443763,103868478.601982,149621143.515482,52349165.8994926,45738644.0898871,77039652.1430829,104574171.340643,80429719.9821505,123047314.612785,108626133.549134,100283483.253112
307.08364,1.15,1782767547.91243,4493791642.45662,4354032611.80453,3603275047.95502,3177530547.91833,3003735543.24785,5005141882.47481,3701059613.86231,3818368326.58462,1906612194.49546,5139374327.77867,2098772542.15987,4801821619.91679,4162326710.8216,3579347018.03712,4316229160.55111,330173299.530254,285734906.319126,3008093593.54336,5198330406.13511,3637674171.60487,4885232498.73632,4175476480.03554,4725221872.80561
435.08882,0.856,588065.428701897,1037147.30148495,2735830.50898614,1431164.36060339,1326430.71523788,1904479.15284077,849047.978548076,561235.325827544,538537.39140241,313584.369379615,641619.708585534,400074.016499797,2147069.61822667,1270041.0860773,3003350.31343285,2750720.33607747,1418207.22795754,805183.306255163,262445.068013217,391454.013739922,413572.253012961,278507.957286059,316752.856591853,533483.571513097
302.06385,3.01,4373974.03035786,1477488.89266056,527636.88069344,2347125.91156997,1372715.50264856,850972.401376067,37406800.0974,30256587.9583942,10687410.2108536,19279865.3418194,14330235.4938028,14807913.2197051,4917399.82383802,400552.6081408,5520700.36540094,459021.562308455,535091.826709234,453376.859662555,20625595.5194514,78283834.7925155,12127211.4572577,9523010.3968201,35233076.5393637,54585794.367312
247.0242,3.265,17361031.3675548,67939576.7105449,58151989.7005013,21302550.9624155,19107940.7643159,20863843.4805918,15608896.2908141,23354398.2556938,24170611.4248558,16948197.923496,26069079.4581586,14316462.0540793,52066149.8266863,38810825.9502134,48874562.607971,26439839.2997991,11965797.8480455,14014737.963779,18064065.5822572,21064355.6134062,21817911.5125927,21023886.0702248,11847886.962753,27602852.7154512
217.13076,3.521,573067.363527681,732619.736809672,432516.653774498,765894.501187752,618575.264702298,777566.779775222,2370993.35662862,1371502.38925539,2450299.58077187,2072418.3518787,3106813.5435321,2649793.1892854,536257.982964798,561533.326331201,733239.982559222,1005152.79879464,1028702.81659558,570246.70165124,1204181.92517443,1416661.97703193,1943246.8159881,1512371.12580941,3540299.63997188,983673.86776077
221.15224,3.62,113998.039961609,4942181.61335159,2800062.00691524,356210.435539046,1451419.1894892,1800527.09059026,2149317.2303319,3152298.53151788,3664548.22973457,43834.5883418725,4215874.94748637,45334.3211261124,3883664.76184774,1556996.89566517,3401477.48439959,3190000.12216254,42571.2871964096,45418.396513891,721445.332585071,3559205.57784081,1282000.72949459,1698504.4710158,504726.196511334,1507975.91061812
174.01535,1.04,23231175.6938785,124481645.877218,126612632.887408,94487276.2933457,107681836.46658,104709136.670194,99288174.6998421,73897366.8172339,85592654.8025002,125922544.127838,107683696.238184,75819863.5437175,55155529.6601623,112306311.58768,121870052.154336,119096822.294414,39637977.0321421,34569971.928047,78696898.2875933,84994715.1832559,69171521.0118495,99581787.7619157,108591323.047226,106603583.64609
174.01534,3.603,33306497.5081816,16565630.4226495,20025903.3911127,17291544.0285873,17699795.6671144,13738886.3541658,9928292.16396747,10740164.2929845,13174414.7758855,14245785.663232,14222811.2129219,35092127.4529177,19151314.1993201,19122238.3916278,14869404.6061758,17702175.5459867,15726351.8950374,21301733.3238256,7556063.44122294,11282976.809048,9887492.49565599,11413070.3309635,13598932.6350581,14168274.6750812
299.07682,2.877,9378323.28113515,19046788.7332524,25309265.4470439,19217636.7488195,11152644.5981812,16388589.5396787,12999278.023526,9639443.56096608,15798361.5399468,15249800.7800539,14983337.4372333,15132559.336422,12671228.5556196,19531116.054298,16267390.7210797,30297684.3962532,22362565.3820186,25553547.7692706,7469304.15272016,10584422.6315978,13040524.2772892,7950924.50787925,14316643.214446,7042111.45650169
275.03242,0.99,9935695.83232313,147210.755307226,472110.907605181,10335336.3165199,2513097.88195845,10925878.1522933,423906.09179019,4648254.19356256,6115457.6514018,2822224.6016656,309219.292959276,1249435.49134643,3717203.25710608,4434882.72601933,4942396.18121298,7795827.46900394,211842.745611922,385678.686306852,1919739.78044775,3940064.79763419,4636938.1342856,3833564.36041508,3377439.10470534,4839405.95531667
169.04958,0.745,21630923.0562625,27810118.9673606,39439618.7653482,40864129.8098931,41358624.316566,67630572.1332873,58816190.7299847,60929440.4442972,78454411.2906028,53864206.4200039,58024234.4398672,43937888.409568,51497520.1988635,68568216.239732,50318905.3918102,35406298.7921263,29181647.9640196,33528789.8660302,53650592.8280775,96532699.83869,80126719.1511123,73684389.5270686,48529537.1665347,71995133.8897399
801.65901,0.683,1005063.07747593,1084176.97705016,1497436.86794499,1277596.93580463,1345132.65502118,2432727.68443752,1640026.68711998,2487156.44329244,1864321.63819462,2343860.81070022,2254647.81472791,1692803.69990503,1202687.27272107,1694894.98177173,1184397.08019422,1853497.24718842,1939800.50268427,1570535.12953564,1673690.60971693,1233261.94103354,1285640.16353494,1642212.79496892,1612120.898759,1330448.53920808
360.08063,2.912,3811529.54225977,5206051.52447422,11191229.8850977,4300038.27314345,3289769.18077676,5770388.92612894,6337557.97928115,3720770.94299575,4752012.85801591,2992314.73876621,10406318.2869358,5275555.57765354,8453599.56782402,6200400.51138632,6631597.61232135,4532956.91356127,6193530.8749612,5214501.53995553,2030362.44673498,6569520.56642011,5932227.02179381,4582411.29299164,5245632.09389385,2271192.32548877
448.14552,0.805,1593726.85296893,3428690.74602369,3548781.86714632,3066744.19429087,5735190.65617959,4829449.78255463,3740825.47465564,9282262.79567713,6900711.54186287,3026643.05748687,6993098.12298187,2119545.35561985,4957159.74277676,2693771.27888004,3254751.57183664,2673484.57307641,2950518.91718132,1035757.7608923,4799703.10735354,6982860.72127711,6209901.02218169,8940649.62537859,3981417.23574839,7295635.58873645
288.05945,3.047,12521295.022201,10388217.1412398,11604079.8467276,10191010.1074498,7567546.9888815,10497749.9758684,10016774.9478287,9545749.89964108,8362461.12585735,11102590.8000211,6668901.33832246,9553906.68217238,11692065.1857893,16571188.3578732,11805001.6659181,9833282.04653157,8841906.22347788,8349063.80386181,6052785.15679716,7635352.67779495,10813948.4482209,8380276.0675219,9209982.09868507,8851860.11762406
289.1273,1.089,156622748.35462,305659969.609262,268190368.175978,316373621.115053,197255817.753368,188960071.203145,279660670.739728,274971772.647621,392703456.756837,545796799.207507,311796165.889443,307835101.177895,150221741.273279,796530977.112652,185063546.379986,248026561.114991,200551247.883065,232937079.837145,346724779.283001,630812419.071974,360952138.490938,300914784.951782,309620018.643648,313766342.353167
386.23049,5.792,114314.161809718,141539.366270638,187556.749605217,136511.312751662,146576.161336577,286450.612559218,22557677.7005584,19958203.2114108,16758646.8737832,21712560.4499431,14009026.8145575,7578066.11756205,148051.132775319,156745.778680583,144216.672718302,135282.868947826,177287.061937527,167354.013417579,21228724.7469434,42828680.3453853,32684833.367213,8865831.15922455,12503033.6323603,25287127.3432746
333.21504,3.326,275455.737836061,544241.171067493,145096.719769948,703491.97375142,772345.813068219,206638.65446911,741990.91701364,544602.782137548,898195.653262039,702780.382125704,592553.974703985,1142133.23867637,286153.975409546,88444.4361707284,305783.029858973,390207.458616866,305496.34809188,146290.194689736,881479.898042951,1912079.16951754,1404064.32950307,1590982.7924258,765337.043059081,1144681.16458902
289.15261,2.583,6394905.20110634,9868728.30683635,8093785.75954467,7242592.14390598,6616815.1109321,6884559.04066066,5084308.70165202,6257610.45997379,5784369.54056126,12096314.7976135,6971474.25128847,7704902.59918642,7331236.89319056,13580782.6130624,7021045.0789049,5543783.41219308,6829510.13007792,7297848.63765333,7124612.50998499,9567354.39670753,8961827.50735784,5973145.7070011,7363138.59810303,6567188.48474422
243.18306,4.591,11393384.6247426,12850247.7896307,8998385.43176084,13763537.7563963,13719984.0660337,13684334.5861147,18725228.0353592,10950215.7885821,11794899.0921756,11044697.0500366,12158853.3833489,19716141.7671608,17152506.7337298,18708330.6983863,11143595.6384649,8344812.27578176,12217046.8188672,13797688.6418362,8964324.77316007,11759006.2993457,13356549.7172375,9230862.94906016,12035796.3326703,15069177.3941705
334.05672,2.605,7683722.18981981,5649469.60296056,5406963.24715159,4048598.25258247,1247897.29851195,3041875.73421093,4284714.12358492,2865930.53917955,2175950.8061422,3883303.83177644,2874420.56761395,1910385.12708384,4882319.08248211,3501550.99322001,5785107.10260119,2743089.20582265,1921741.91688698,2338341.99814152,3032836.54596108,2946604.33478899,2523551.3509291,2852428.77614182,4998408.99079603,3082920.17773533
325.10065,0.869,101243674.662175,99632568.706168,90132654.5711728,95814155.3281493,59814697.2405512,121307327.143079,87054551.3015531,74870061.1687761,92430704.1495194,99110262.010237,100278263.56342,82042868.6442098,110981544.064715,149841124.30093,128260271.469484,96249736.4265194,84818195.8414141,100207697.416146,83868037.6520309,77904835.1353481,99255880.64587,81240690.956988,92597794.8475833,99549358.2046312
325.10072,3.1,31561643.3880828,35882657.0877193,39215575.8575339,35537571.2381936,27045111.4535311,35225112.3822477,33277567.708855,32279063.722498,31685416.9109932,33081914.1708624,36978648.7100223,40485869.9789142,30424584.9513059,31993946.1743677,40531706.2116089,33256438.7750539,26416591.7129909,24696877.7043129,23986884.33975,39667041.7496524,37040566.1756622,28066342.3144376,34523002.2161998,37958833.5182261
319.06631,0.777,14959933.1408336,21474407.4455523,31741009.0924115,20760380.8883337,22466351.8529567,26792672.7662425,23590553.8860285,22576341.8893842,13961384.6766207,14233351.9232276,23924937.4019979,14529090.817281,22952964.2892254,28197380.8294428,23824618.0926851,25712335.8916007,15051795.731543,17058180.7258062,11314578.1842233,23263773.0881001,19567607.0847124,15754352.2837959,14966344.4410097,17507710.6331357
389.07248,1.401,12772295.8900192,7817369.85400092,6658498.78342623,14629490.5203568,18531039.5566328,22403284.9632098,10944346.2409077,16468114.3704448,6357303.73397268,15481200.0585208,13278325.0680132,21567162.9001968,5568468.29057737,14686357.1909194,5005966.21358428,25272108.5172078,31235714.8499627,27423812.9512725,11669450.7360217,16791363.9205933,8607453.64184802,10904912.3762996,14109817.3307988,14164323.5743526
309.10579,3.216,109730944.540525,1842475.46176131,2722417.39487326,1426811.42936077,2859163.69573315,4375288.38159912,5814603.9843159,1315674.05302648,4058114.05872308,158250395.653299,3375770.90332531,233759906.969459,2692227.36250198,2248964.66085306,8299065.16399089,803015.960609576,267523749.374346,272534705.247487,9042783.15583088,5738391.91750471,14972874.8313747,3505885.4561174,33880755.3238338,1797527.05916945
309.10602,1.699,6050726.67193894,12063734.1427439,9222104.2752297,20097694.6927488,18219962.8323749,22053391.0165083,20797593.756927,13902953.4191066,14057992.5580275,6628769.82300667,7533617.31246984,5968701.18115361,8915684.62181864,11519688.6675272,13606460.6207406,27268488.4449438,9989628.23788242,7710155.79585894,9872086.26396096,19387154.606578,10052838.4259517,9717136.55844762,9760977.88719175,13606159.7548234
207.08879,3.461,9615851.36638759,6825566.70788614,6526850.08366723,8777132.29642852,9329502.32742986,12523886.6796165,17866966.7441145,11093903.3561062,17617237.5009353,13684413.9280833,16569185.1349306,11795602.9463941,7258514.03676984,5817663.77789257,10450496.9900978,8348229.71049929,13372442.7756956,8662181.72705434,12049497.5062992,14883026.075213,17424502.7746922,9956490.01726496,16427044.4048791,10642344.8689511
197.07908,0.956,4426525.36525936,3758865.63026452,3038794.92385562,4128373.90839073,4256384.44027165,2984148.18779714,7566742.22587097,6953814.26121492,7488901.40474588,7286209.95928298,6896335.44151656,6319668.33885115,3328007.88555678,1985734.13719393,4425164.3227324,4718197.68003248,4396027.76899306,4673929.89120992,5830828.99005202,5598274.53451107,4153119.53554274,5361457.44008777,5876738.86927876,7280671.0082781
189.06284,1.834,165861717.565003,168146948.650344,112519246.16802,168285500.070276,209694273.193236,166210653.185852,381442548.878929,367022067.248071,320321074.123549,397940715.37028,325406641.096145,373793964.725668,183308373.527843,192267144.063399,204720946.036494,157792283.074078,195672400.729176,104323680.217138,252289549.142052,341902220.976717,394526204.889713,310186939.240193,258037951.311127,317754447.731813
335.13275,0.738,13456827.6839339,13247553.2457779,16005078.4998745,17329677.5258986,17174967.3613728,22680715.3847211,22770888.3923727,16561841.6360955,20409054.0834331,12387121.133833,18684374.8102459,9113622.92482796,16877626.509565,10512420.6280103,17561099.9777948,16082405.1867216,12225731.5354061,11798815.0128626,17495637.399092,18226303.0400602,15658924.97172,21159161.5054152,16450410.4484358,17093455.3713202
221.07175,3.028,253465.376450845,181425.711476469,272885.747458886,914381.065075667,534821.22439435,921754.020504085,2036401.7036184,1262363.14109911,1485530.55289744,1316668.07891144,1257237.18486042,956602.370767166,309776.110373103,273809.47472025,377032.12900923,663377.57576057,610962.178484985,463069.574294913,867206.244131302,1629235.46973757,1382806.71463819,1024158.37602928,1601826.43568348,1247475.31831408
221.07165,1.158,1228555.28111386,2143883.93148894,2361848.86690651,3611654.02507415,1655608.57778504,1152542.89252197,1032725.86832002,447987.487312021,628380.592289545,556367.386523131,541246.369601226,616947.141595375,2306719.55572044,1574812.2713671,2557475.22470233,2502038.03694155,2252821.69325183,2621666.08217677,721758.970750702,721546.111541387,233587.373753849,276286.067370832,509192.104865837,418046.215508035
247.06877,2.792,3041230.2261434,3920546.67354703,3479421.39824785,4154766.28690856,3759202.32671185,5100620.62335593,4042454.35072827,4102394.41740519,3185041.58936819,3134293.51184748,5337132.44717611,4760672.5211938,3422678.23526954,2302973.3132754,3202334.68891094,3618795.42993625,3144529.29074975,2772737.27437768,2759414.60819308,5183483.63781528,2409463.29346153,3702619.93677705,3988163.57443644,4313363.13300248
