m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_nonpolar_RPlipids_neg_01.raw (F1),Area: B6_2_ML_nonpolar_RPlipids_neg_01.raw (F2),Area: B6_3_ML_nonpolar_RPlipids_neg_01.raw (F3),Area: B6_4_ML_nonpolar_RPlipids_neg_01.raw (F4),Area: FVB_1_ML_nonpolar_RPlipids_neg_01.raw (F7),Area: FVB_2_ML_nonpolar_RPlipids_neg_01.raw (F8),Area: FVB_3_ML_nonpolar_RPlipids_neg_01.raw (F9),Area: FVB_4_ML_nonpolar_RPlipids_neg_01.raw (F10)
763.63084,8.467,6198504.29604444,5953862.15142958,4336342.69239116,5647397.96192483,6198504.29604444,4586599.71560561,5110168.44774395,5932844.74516019,4955134.61494451
777.56764,7.011,8602751.4359005,7555630.70997576,5505642.25516911,6343802.82356976,5747742.70382949,5089817.98797815,5971199.92669292,6251776.80691128,8602751.4359005
767.54685,6.766,1835916363.46027,1835916363.46027,1424200075.19973,1614781783.15742,1731466699.13351,1164304798.63118,1594252408.02337,1554887956.68101,1340010542.44535
796.52653,5.357,6450869.94244239,6232640.53379237,3535351.19984728,6318691.66093188,6446924.18895927,6450869.94244239,5400835.99483159,5877074.78232166,5025256.78442909
815.64958,7.327,7481615.60811578,7481615.60811578,6475410.00707431,5098568.77838441,4233770.02698192,6948545.31038565,5057024.37227498,4707920.90339789,3696401.76457178
768.5491,6.48,16281783.5401559,7243230.56826582,5236332.50698894,7596467.5934047,7349982.54441779,16281783.5401559,9000558.53991031,6559756.4678009,5401752.66845319
779.57467,7.829,7707910.79008829,4068026.91728182,4950712.88595798,7707910.79008829,7070955.7272064,6581570.72500201,6845340.74721223,7396756.88346805,4468392.43189531
732.53603,7.55,7758120.13517939,4678150.39383894,6047796.13656316,5928463.37761567,7758120.13517939,6371757.91925605,5929519.64774693,5933183.67466106,4882734.42536618
558.23616,7.302,8102361.92395097,8102361.92395097,7445598.66944651,4968729.30723389,4477783.81645274,5103628.95586021,6166053.12023672,6722222.89204464,5206038.81805973
860.54134,5.324,8205219.06906141,5982987.05500349,4673129.77390105,8205219.06906141,5066022.17079527,4033961.32415291,4936481.43114072,6840868.07687495,5375044.53982898
689.49996,6.229,8234040.13529265,2946442.73087742,1992720.95517618,6394871.87664339,8234040.13529265,5526245.18679579,2923581.68432309,4199786.97043886,2604048.83458909
1448.97299,8.202,8247534.2270433,7711294.63956404,8092174.51621268,6845553.41993085,7325402.36070519,6803533.6673289,8247534.2270433,8160394.22189158,4800740.48614207
862.71211,7.78,8308791.95610696,8086331.88749847,6471347.42101138,6664891.54002736,6615974.08692935,3051513.42337729,5158416.95288056,8308791.95610696,5155308.34718004
665.59668,7.83,8395420.559758,5911034.16949768,6613171.45851406,7756538.86207339,8395420.559758,7333855.32853873,7464173.49060381,7915325.90920229,7324510.16032483
835.55831,4.622,8403124.91408628,6382002.70357566,5383769.43155556,6423979.00026251,6768170.95316967,6899892.59954661,6504081.66314271,7765997.36914417,8403124.91408628
425.16332,3.898,8548677.05652959,1335370.06818646,3438757.54768704,3248879.36569685,8548677.05652959,2038137.72635029,3728944.90269355,4656439.28809886,3332583.00185359
926.67087,7.256,8572894.36043136,5329743.20664691,5029026.10514873,7762304.55032245,8572894.36043136,5458930.92159862,2710566.47064211,5791748.80633829,4680629.01480821
698.61763,8.323,8618985.93648912,8266431.78305132,7349727.67132687,7728942.85724872,8618985.93648912,7155037.25541061,7325628.86170304,7967789.64163122,6895399.11738143
842.51015,4.729,8943088.06131845,8943088.06131845,4341995.43243501,5362999.81615943,6050368.6576965,8431602.91978038,5626062.35035719,6424531.73562395,5456375.25763124
380.1655,3.897,9003827.92176464,1244218.98115276,3535684.35495271,3187181.75416699,9003827.92176464,2076371.86510233,3614472.61185557,4664688.42370104,3298252.25165679
531.36079,7.301,9050636.29438393,8538238.72212672,8126049.05028904,9050636.29438393,7144520.99300999,8747431.45598765,8566364.85544603,7858342.06301881,5985142.18180916
317.95525,8.74,7447140.25659141,6229116.4118689,5335480.78071019,6057061.81871965,4938385.44707231,6615276.91358248,5025306.84747213,5810547.16588895,6505463.47769568
680.50435,7.213,7357191.53446299,2681345.43361364,4694969.66845063,3773470.77011875,7357191.53446299,3554284.30763524,3742844.38858853,2414898.11577912,3064275.80005763
427.17886,4.76,7304393.905523,2079677.70292028,3696401.83131843,4118739.23529108,7304393.905523,3166771.07041111,4743217.46646819,5676572.38115149,3430561.82892175
751.51505,6.069,7281028.10413485,4052363.60987413,2155602.49942436,7231909.17217659,7239422.66730123,7281028.10413485,5096603.0453746,4435080.9132601,2873606.44074118
793.5901,7.995,6486437.7259509,5513933.73066801,5119783.92070005,5981644.12588109,5848458.10027596,6486437.7259509,4635151.73949003,5546265.57636153,4299401.86236239
486.2802,7.303,6572553.21946381,6160485.03981687,5187536.34493904,5441001.350398,3748874.81701311,6572553.21946381,4345628.90292301,4573229.8447536,5190519.30720965
758.55156,7.821,6614554.98054253,6614554.98054253,5481079.41038629,3501422.12855022,3275131.86929245,2699368.58859196,5307011.58721476,5197215.29866199,5338554.21958787
609.32539,1.232,7376830.72579509,7078706.37516937,5676870.3616409,7052956.23770763,6490720.67089473,6621485.10674078,7376830.72579509,6967678.50009531,5605833.7574224
773.594,7.453,6673001.60391481,5234466.6849844,4509453.27313044,6673001.60391481,5052834.30923111,3360885.54564979,5286936.89366285,5777304.21364902,4632649.90544876
701.53641,6.947,6687219.77746936,5291482.43849759,5894630.92528592,5447805.87549349,5017887.77051078,6687219.77746936,6598126.60673382,5970140.68302034,4776043.75048649
841.66483,7.313,6702206.89803753,5712878.6972058,4656557.63428333,4196030.6412283,2813749.43105033,6702206.89803753,3416698.65683249,3133022.02530106,2921051.53813414
774.54117,6.102,6713923.0972558,4971550.78370829,3176333.47312653,6713923.0972558,2938752.02141115,5676224.14441906,3004151.14684247,4459136.55420898,3104204.84606687
876.69387,7.123,6411264.16122042,6411264.16122042,4642850.17749756,5379466.46114983,5866647.3476295,6381570.03477095,5388446.55677827,5289375.57116653,5088313.34766266
795.57832,7.184,6811030.55454151,4704260.75797743,6811030.55454151,5202852.87256087,5635987.12650681,4933606.63558843,3492972.70412935,3608607.50291692,3380094.21653259
673.59672,8.323,6953746.46198921,6953746.46198921,5997570.97171039,5941864.05110006,4570893.79166006,5824729.94637675,3889477.10810163,4388507.7232499,6154856.80181067
829.59952,7.287,6970154.71472771,6311754.62485443,4486884.83342566,6970154.71472771,4604761.70157941,3572885.91874519,6445989.42471456,4522930.07158961,4057856.54730139
902.75853,9.761,5263911.20471627,4386555.11384445,5263911.20471627,4105340.43414782,3751610.24266106,1823111.19654651,4113976.40160638,4509883.89314468,4157815.00228868
835.53475,6.77,7029608.20036647,4006987.8221972,4778022.51622337,5959637.54995732,4177719.73438762,4761547.7033819,3815388.68781907,4749164.97113496,7029608.20036647
914.67089,7.472,7121319.09580235,6725144.14303651,5713449.87173177,6092013.87357658,6258062.55288341,5528680.52066307,7121319.09580235,6145205.8531115,5659523.01130374
805.59567,7.321,8293351.07667848,6330479.81451518,5862892.15992245,8158639.60816319,5245730.66327551,3431328.87136377,7207236.78143487,4192897.07693792,5824166.78558657
830.65175,6.884,7668149.97201539,6724931.80323383,7097405.92172595,6558178.228926,7590412.08287667,7114883.5462691,7218428.20389836,7668149.97201539,5946443.07017388
723.67516,8.732,7245971.42515551,5218538.72137429,4901539.0655957,5693743.96711393,6301556.45789132,3802769.95115051,5118390.42591275,7245971.42515551,4773286.05691467
531.27688,7.304,9734594.06060679,7376135.13935368,4555572.24729155,6491226.34503374,9455270.55503782,9235486.48603176,6665520.21668062,7068147.76906417,7259891.80215513
873.69122,7.332,5205745.43081175,4361915.60705956,3027257.46762222,3295456.03353964,2619942.43841059,5205745.43081175,2774126.42149776,2830773.16353172,2736416.85432467
754.57063,7.043,5461248.91576926,5461248.91576926,4443037.16327977,4154785.394124,4283709.17316347,3870766.66510784,4042928.65825638,4472803.23081071,4378399.33488484
398.89635,8.741,5173516.91527427,5173516.91527427,4429469.65004025,4331684.02829647,3572477.92725361,4384238.91200587,3660793.25095745,4583082.26235641,4325628.7399741
681.66489,8.873,3025832.72319836,3025832.72319836,2038142.9499788,2873425.73448185,2438286.34209996,2589337.17458803,2537656.27326059,2695698.45785671,2195109.74938856
811.53482,6.835,3056547.53957046,2660273.12320259,3056547.53957046,2557025.15132297,2383865.50452133,2677042.97867497,2807614.40869208,2712020.51502912,3046715.37757456
805.55928,6.873,3406314.44425425,3406314.44425425,3051012.10372209,1677629.40149953,933724.813242822,1083118.562885,1707463.86144019,1518068.72047455,1347205.3763024
708.64735,8.301,3878663.51713975,3687749.30836621,3183649.52249298,3491155.67485104,3784764.46480058,2581388.65841413,3008753.2118189,3878663.51713975,2637824.08492135
575.36781,7.308,3119987.67626009,3119987.67626009,2968692.05916638,2669935.47980839,2757285.08875674,3097342.99818708,2839841.53507754,2685046.8545946,2984490.33689213
934.7491,8.768,3164969.4957558,1855164.47807496,2258494.97970246,1922203.76294702,1778742.44488294,974716.99741263,2183229.62559518,2992191.59149712,3164969.4957558
654.48868,7.166,3187217.17983178,1728635.45504517,2124945.07504149,2467982.85405384,3187217.17983178,1817866.80204222,1663003.84722626,1954387.10739226,1716387.36213516
647.61539,8.153,3974631.22451042,3120201.20032727,2359551.14701861,3974631.22451042,3168247.30014241,1857856.94052274,2955697.6915361,3217662.43647331,2873157.65720084
505.36187,7.302,3331199.62039315,3005565.58067748,2210716.21026432,1874320.37456327,2758491.84116359,2564926.82775885,2713752.59512164,2773450.77758009,2498729.37332258
840.60762,6.411,3227582.69191908,2785883.9370146,2737368.37110338,2846895.06419963,2714374.23997019,3227582.69191908,2876248.0863892,2755064.84057492,2823431.40426548
314.08568,6.695,3233988.28286263,73039.0006542639,71043.9371003485,59135.4661425216,102433.372525836,67765.1669205991,93815.3088630164,94000.3447576167,74719.2901604423
800.48994,7.417,3239581.90281686,2117339.24180348,3239581.90281686,2347290.60657309,1636910.5874549,2153419.96426498,1914517.18334368,2185912.58472254,2322287.24712282
753.56715,7.289,3308413.13117793,1076380.60212017,835384.546324834,1194762.20332,930869.082154026,3308413.13117793,1182819.14168638,956347.122562213,564214.003147377
625.56467,7.66,3346259.34389018,2225567.34020854,3346259.34389018,1979823.87946179,2464023.74692183,1475520.13705327,2286363.34863727,2601556.9910381,1958370.14519349
759.57829,7.293,3406113.94211081,3390240.5698393,2152441.35052249,3406113.94211081,2283734.54143191,2928918.06732546,2664257.13408999,3012016.34442415,1722034.79579672
677.55202,7.353,3431287.59623152,1821590.21753518,2034207.58773869,1608277.06424704,1942939.24170892,3431287.59623152,1993083.32570357,1948511.92209579,1906628.79693047
767.54744,7.296,5034897.32266005,5034897.32266005,2351367.27293711,3616460.35327253,2906619.71126465,2540910.4554662,2761605.63602947,3089688.98600158,2490480.72835533
707.52308,7.309,6407842.25982897,2292204.78363786,3288092.38957066,2877233.15331455,6407842.25982897,1936630.85167396,3024247.91550252,3324563.66380931,2888113.76376668
686.48842,6.125,3232765.63906999,291263.660950298,410727.794337674,437888.201638058,269747.445654599,3232765.63906999,1473906.21690048,2099994.47194627,285746.224318943
741.52186,5.99,3757857.57586748,2941967.45626652,1546085.29963638,2313392.56920538,2469914.79780269,3757857.57586748,2088466.74640873,2928307.50056626,2392169.04584199
793.55354,8.144,3360902.14376428,2772025.51649687,2719970.53562122,2919329.55391006,2914809.07419373,2935678.85288168,2562329.88638678,2621932.68744863,3360902.14376428
971.67396,7.831,2902402.74649714,2314131.39039204,2256509.50129454,2176009.9162476,1837893.05379314,2902402.74649714,1988010.09444334,2330519.17052901,1775113.7387607
821.61964,8.298,2183065.94359128,1119293.3982462,1211985.18418855,1343787.98264694,1898019.8815829,1217557.04415147,1544689.86199248,2183065.94359128,1823628.06346304
816.57057,5.898,3777826.56950523,697509.357157534,1064700.9626202,3777826.56950523,2354447.31819257,2131464.46276986,1345571.95765142,551908.100433302,1090542.52499399
827.55872,5.693,4605796.42486332,1331413.27313928,1020396.11781977,4605796.42486332,3480100.44098255,1129560.34722323,1511351.01820849,1730517.25748753,750129.292073484
450.37091,7.316,2082181.98351248,2082181.98351248,989205.623985116,1964983.68138383,1135995.83429203,1196145.53808332,1151513.21675558,1305559.70037935,730303.193720671
854.58288,5.89,4219919.20103034,3617543.01460326,2273773.68186493,4215339.33847362,2124330.83694613,194783.932024589,3950447.58720231,3997117.52854432,1048497.54188586
751.54985,6.615,2232889.11837421,1518706.84501529,1013648.32683167,1511433.65395784,989940.279994862,2232889.11837421,2031162.30106781,1130311.7893499,1259475.58306544
821.62428,8.291,2280330.4052175,1385309.31336743,1516214.0172765,1676991.52283789,1808230.43612523,1725341.92996479,1381553.6417307,2280330.4052175,1811441.0676671
314.08571,7.02,2416526.30585148,67040.7007288036,28745.0870902842,54636.0915453513,98076.3227633398,76306.814779655,28191.1386905025,37394.72682761,82096.9697636889
474.35142,7.3,2419114.50739825,2419114.50739825,1570325.94024023,2003026.65052857,1483019.59451715,2319504.17344152,1740983.52678874,1651358.18879288,1546363.4408026
476.36757,7.304,3639971.98947652,2446117.20494709,2832013.67950323,2470784.32598305,2536062.26769006,3422997.08058392,2877501.94340799,3205768.08152039,2970466.12312127
566.2371,7.307,3805423.7604037,3076889.57055365,2539025.36664329,3324180.17892146,2106239.89347601,3805423.7604037,2462718.17035623,2490572.01721053,2304846.65212731
698.66298,8.606,4996728.22557992,3972227.42512196,2747198.71671459,4996728.22557992,4349367.17531752,1998588.48897969,2962437.32977479,4741864.55258234,3407913.15349923
638.51271,7.597,2644409.69106998,1352123.38167956,2198797.44679947,1975793.25296652,2644409.69106998,1306573.90702294,1296171.59399098,1833657.80458942,1097220.55181133
653.63299,8.614,2765885.4077381,2681913.77007023,2029974.19326487,2693488.95502644,2461817.9469403,2341557.86272631,2765885.4077381,2651545.25376133,1993197.64888682
703.55223,7.31,2814803.7746095,2375200.67848194,1823817.10668951,2814803.7746095,2412353.44160023,2111522.12455126,1984746.64449251,1689292.07324611,1203575.22630733
811.51503,5.669,3634942.72188553,3586343.85723589,2475177.79405419,2819549.35332627,3634942.72188553,2818918.72879331,3412069.68126242,3010002.90182097,3012561.56776908
833.60201,8.134,3282189.25709091,2821351.75283723,3282189.25709091,2660580.43061301,2401172.95707881,2827529.18237287,2657454.63049686,2637951.32221237,2400906.79729185
756.53584,7.433,2870310.96413127,1734992.77272806,2623647.63326899,1995065.26965607,2870310.96413127,1901341.28998242,2329576.2012494,1915329.04325127,1784427.05026124
